SURVEY:   PS1_HST_COMBINED(SNAP)
SNID: SCP06K0 
IAUC: UNKNOWN
RA:   219.534858 deg
DECL:    34.238356 deg
MWEBV:    0.015  MW E(B-V)
REDSHIFT_HELIO: 1.415 +- 0.0005 
REDSHIFT_CMB: 1.4163109 +- 0.0005 
VPEC: -2.3837 +- 250.0
SEARCH_PEAKMJD:  53751.3
FILTERS:     abcdefghijklmnopqrstuvwxyzABCDEFGHIJKL  # 046 -> CDE


# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  14
NVAR:   7

VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG MAGERR
OBS:     53751.703     E     NULL     8.43409253715     0.621063942069 -9 -9
OBS:     53771.362     C     NULL     9.15400346299     0.518976972287 -9 -9
OBS:     53771.426     E     NULL     4.69665792491     0.720522580482 -9 -9
OBS:     53771.441     D     NULL     1.51160106385     1.02640224592 -9 -9
OBS:     53780.321     C     NULL     5.79315861231     0.5346088088 -9 -9
OBS:     53792.430     E     NULL     1.96486065658     0.779092667543 -9 -9
OBS:     53793.972     C     NULL     4.19871128784     0.409554116684 -9 -9
OBS:     53809.700     C     NULL     2.91377432633     0.331394934111 -9 -9
OBS:     53810.035     E     NULL     1.21671067654     0.816665930942 -9 -9
OBS:     53810.074     D     NULL     1.57388656475     1.05309603202 -9 -9
OBS:     53827.648     E     NULL     1.10399088635     0.783513051475 -9 -9
OBS:     53827.664     D     NULL     1.07246211213     1.33939997313 -9 -9
OBS:     53843.227     D     NULL     0.910205765249     1.32631478387 -9 -9
OBS:     53843.262     E     NULL     0.735993924234     0.8067200671 -9 -9

END: 
