SURVEY:  LOWZ                
SNID: 1991T 
IAUC: 1991T
RA:   188.542500 deg
DECL:     2.665670 deg 
RA_HOST:   188.535080
DEC_HOST:     2.653670
MWEBV: 0.022 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.00579 +- 1.7e-05 
REDSHIFT_CMB: 0.0069343 +- 1.7e-05 
VPEC: 84.584 +- 250.0
SEARCH_PEAKMJD:  48374.031
FILTERS: UBVRI
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 251
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 48385.621  R  NULL   0.20342E+07  28104.      11.729   0.015
OBS: 48385.621  I  NULL   0.15150E+07  23721.      12.049   0.017
OBS: 48385.629  B  NULL   0.13970E+07  20587.      12.137   0.016
OBS: 48385.629  V  NULL   0.22019E+07  32449.      11.643   0.016
OBS: 48385.629  R  NULL   0.20324E+07  28078.      11.730   0.015
OBS: 48385.629  I  NULL   0.15122E+07  23677.      12.051   0.017
OBS: 48386.551  B  NULL   0.12612E+07  18586.      12.248   0.016
OBS: 48386.551  V  NULL   0.19697E+07  29027.      11.764   0.016
OBS: 48386.551  R  NULL   0.18863E+07  26060.      11.811   0.015
OBS: 48386.551  I  NULL   0.14629E+07  22905.      12.087   0.017
OBS: 48388.570  U  NULL   0.11158E+07  26721.      12.381   0.026
OBS: 48388.570  B  NULL   0.10884E+07  16040.      12.408   0.016
OBS: 48388.570  V  NULL   0.17816E+07  26254.      11.873   0.016
OBS: 48388.570  R  NULL   0.17108E+07  23636.      11.917   0.015
OBS: 48390.500  U  NULL   0.77411E+06  18537.      12.778   0.026
OBS: 48390.500  B  NULL   0.90949E+06  13403.      12.603   0.016
OBS: 48390.500  V  NULL   0.16233E+07  23922.      11.974   0.016
OBS: 48390.500  R  NULL   0.16114E+07  22262.      11.982   0.015
OBS: 48390.500  I  NULL   0.14777E+07  23138.      12.076   0.017
OBS: 48393.621  U  NULL   0.51428E+06  12315.      13.222   0.026
OBS: 48393.621  B  NULL   0.65163E+06  9602.8      12.965   0.016
OBS: 48393.621  V  NULL   0.13804E+07  20342.      12.150   0.016
OBS: 48393.621  R  NULL   0.15431E+07  21319.      12.029   0.015
OBS: 48393.621  I  NULL   0.15531E+07  24318.      12.022   0.017
OBS: 48395.551  B  NULL   0.55924E+06  8241.3      13.131   0.016
OBS: 48395.551  V  NULL   0.12906E+07  19019.      12.223   0.016
OBS: 48395.559  B  NULL   0.55005E+06  8105.8      13.149   0.016
OBS: 48395.559  V  NULL   0.12624E+07  18604.      12.247   0.016
OBS: 48396.559  B  NULL   0.40551E+06  3734.9      13.480   0.010
OBS: 48396.559  V  NULL   0.11803E+07  10871.      12.320   0.010
OBS: 48396.559  R  NULL   0.11803E+07  10871.      12.320   0.010
OBS: 48405.590  B  NULL   0.23529E+06  3684.0      14.071   0.017
OBS: 48405.590  V  NULL   0.80538E+06  11868.      12.735   0.016
OBS: 48405.590  R  NULL   0.11179E+07  15444.      12.379   0.015
OBS: 48405.590  I  NULL   0.14309E+07  22404.      12.111   0.017
OBS: 48414.621  U  NULL   0.14322E+06  3429.6      14.610   0.026
OBS: 48414.621  B  NULL   0.18932E+06  2789.9      14.307   0.016
OBS: 48414.621  V  NULL   0.56338E+06  8302.2      13.123   0.016
OBS: 48414.621  R  NULL   0.74473E+06  10289.      12.820   0.015
OBS: 48414.621  I  NULL   0.10755E+07  16839.      12.421   0.017
OBS: 48420.469  U  NULL   0.11355E+06  2719.2      14.862   0.026
OBS: 48420.469  B  NULL   0.15052E+06  2218.2      14.556   0.016
OBS: 48420.469  V  NULL   0.42737E+06  6297.9      13.423   0.016
OBS: 48420.469  R  NULL   0.57438E+06  7935.4      13.102   0.015
OBS: 48420.469  I  NULL   0.74542E+06  11671.      12.819   0.017
OBS: 48427.672  B  NULL   0.12359E+06  1138.3      14.770   0.010
OBS: 48427.672  V  NULL   0.34356E+06  3164.3      13.660   0.010
OBS: 48427.672  R  NULL   0.39446E+06  3633.1      13.510   0.010
OBS: 48431.488  U  NULL    93756.      2590.6      15.070   0.030
OBS: 48431.488  B  NULL   0.12359E+06  1935.2      14.770   0.017
OBS: 48431.488  V  NULL   0.31506E+06  4643.0      13.754   0.016
OBS: 48431.488  R  NULL   0.38833E+06  5365.0      13.527   0.015
OBS: 48431.488  I  NULL   0.44218E+06  6923.5      13.386   0.017
OBS: 48438.500  B  NULL   0.11345E+06  1671.8      14.863   0.016
OBS: 48438.500  V  NULL   0.26644E+06  3926.4      13.936   0.016
OBS: 48438.500  I  NULL   0.32749E+06  5127.7      13.712   0.017
OBS: 48439.469  B  NULL   0.10656E+06  1570.3      14.931   0.016
OBS: 48439.469  V  NULL   0.24706E+06  3640.8      14.018   0.016
OBS: 48439.469  R  NULL   0.29376E+06  4058.5      13.830   0.015
OBS: 48439.469  I  NULL   0.31652E+06  4955.9      13.749   0.017
OBS: 48440.461  B  NULL   0.10794E+06  1590.7      14.917   0.016
OBS: 48440.461  V  NULL   0.23790E+06  3505.9      14.059   0.016
OBS: 48440.461  R  NULL   0.28262E+06  3904.5      13.872   0.015
OBS: 48440.461  I  NULL   0.29621E+06  4637.9      13.821   0.017
OBS: 48442.480  U  NULL    78343.      1876.1      15.265   0.026
OBS: 48442.480  B  NULL   0.11087E+06  1633.8      14.888   0.016
OBS: 48442.480  V  NULL   0.24099E+06  3551.4      14.045   0.016
OBS: 48442.480  R  NULL   0.27848E+06  3847.4      13.888   0.015
OBS: 48442.480  I  NULL   0.30818E+06  4825.3      13.778   0.017
OBS: 48445.461  V  NULL   0.22100E+06  3256.8      14.139   0.016
OBS: 48445.469  B  NULL   0.10627E+06  1663.9      14.934   0.017
OBS: 48445.469  V  NULL   0.22019E+06  3244.9      14.143   0.016
OBS: 48459.488  B  NULL    89950.      1325.5      15.115   0.016
OBS: 48459.488  V  NULL   0.16203E+06  2387.8      14.476   0.016
OBS: 48459.488  R  NULL   0.17266E+06  2385.4      14.407   0.015
OBS: 48459.488  I  NULL   0.15304E+06  2396.2      14.538   0.017
OBS: 48469.512  B  NULL    67920.      1251.1      15.420   0.020
OBS: 48469.512  R  NULL   0.12246E+06  2255.8      14.780   0.020
OBS: 48480.488  V  NULL    76560.      1410.3      15.290   0.020
OBS: 48593.461  B  NULL    16144.      892.13      16.980   0.060
OBS: 48593.461  V  NULL    15704.      723.18      17.010   0.050
OBS: 48593.461  R  NULL    8953.7      494.80      17.620   0.060
OBS: 48594.461  B  NULL    14997.      828.76      17.060   0.060
OBS: 48594.461  V  NULL    14454.      798.78      17.100   0.060
OBS: 48594.461  R  NULL    8709.6      481.31      17.650   0.060
OBS: 48603.461  B  NULL    15276.      844.16      17.040   0.060
OBS: 48603.461  V  NULL    14859.      821.16      17.070   0.060
OBS: 48603.461  R  NULL    8472.3      468.20      17.680   0.060
OBS: 48628.828  B  NULL    10037.      175.64      17.496   0.019
OBS: 48628.828  V  NULL    10148.      168.25      17.484   0.018
OBS: 48628.828  I  NULL    6674.2      245.89      17.939   0.040
OBS: 48629.828  B  NULL    9881.0      163.81      17.513   0.018
OBS: 48629.828  V  NULL    10233.      169.65      17.475   0.018
OBS: 48629.828  I  NULL    6600.9      279.66      17.951   0.046
OBS: 48653.898  B  NULL    8629.8      397.42      17.660   0.050
OBS: 48653.898  V  NULL    6606.9      304.26      17.950   0.050
OBS: 48653.898  R  NULL    3837.1      176.70      18.540   0.050
OBS: 48657.602  V  NULL    7046.9      454.33      17.880   0.070
OBS: 48657.820  B  NULL    8016.8      295.35      17.740   0.040
OBS: 48657.820  V  NULL    6546.4      180.88      17.960   0.030
OBS: 48657.820  R  NULL    3767.0      138.78      18.560   0.040
OBS: 48658.660  B  NULL    7943.3      512.12      17.750   0.070
OBS: 48658.660  V  NULL    6668.1      491.32      17.940   0.080
OBS: 48658.660  R  NULL    3908.4      215.99      18.520   0.060
OBS: 48677.781  V  NULL    5670.2      114.89      18.116   0.022
OBS: 48677.781  I  NULL    4499.9      186.50      18.367   0.045
OBS: 48681.781  B  NULL    6194.4      342.32      18.020   0.060
OBS: 48681.781  V  NULL    4613.2      212.45      18.340   0.050
OBS: 48681.781  R  NULL    2582.3      118.92      18.970   0.050
OBS: 48686.461  B  NULL    5011.9      461.61      18.250   0.100
OBS: 48686.461  V  NULL    4920.4      271.91      18.270   0.060
OBS: 48686.461  R  NULL    2511.9      185.08      19.000   0.080
OBS: 48687.852  V  NULL    4600.5      72.032      18.343   0.017
OBS: 48687.852  R  NULL    2320.6      47.022      19.086   0.022
