SURVEY: LOWZ
SNID: 1997bq_JB 
IAUC: 1997bq
RA:   154.272210 deg
DECL:    73.383920 deg 
RA_HOST:   154.223540
DEC_HOST:    73.400750
MWEBV: 0.024 MW E(B-V) (SFD98)
REDSHIFT_HELIO: 0.00938 +- 1.9e-05 
REDSHIFT_CMB: 0.009578 +- 1.9e-05 
VPEC: -255.9029 +- 250.0
SEARCH_PEAKMJD:  50558.000
FILTERS: UBVRI
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:  115
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR 
OBS: 50577.021  B  NULL    29268.      6442.7      16.334   0.239
OBS: 50577.025  V  NULL    87659.      8881.1      15.143   0.110
OBS: 50578.660  B  NULL    26816.      493.97      16.429   0.020
OBS: 50578.660  V  NULL    78777.      798.12      15.259   0.011
OBS: 50578.660  R  NULL    97543.      1706.9      15.027   0.019
OBS: 50578.660  I  NULL   1.08843E+05  1403.4      14.908   0.014
OBS: 50582.780  U  NULL    13652.      1119.0      17.162   0.089
OBS: 50582.780  B  NULL    18638.      377.65      16.824   0.022
OBS: 50582.780  V  NULL    64684.      774.49      15.473   0.013
OBS: 50582.780  R  NULL    93929.      1470.7      15.068   0.017
OBS: 50582.780  I  NULL   1.14499E+05  1898.2      14.853   0.018
OBS: 50589.037  B  NULL    15149.      4116.2      17.049   0.295
OBS: 50589.045  V  NULL    48528.      7687.8      15.785   0.172
OBS: 50592.033  V  NULL    36812.      3627.9      16.085   0.107
OBS: 50592.037  B  NULL    9471.0      2163.3      17.559   0.248
OBS: 50593.016  B  NULL    11137.      3251.8      17.383   0.317
OBS: 50593.025  V  NULL    35253.      3149.5      16.132   0.097
OBS: 50597.113  B  NULL    8009.4      2006.5      17.741   0.272
OBS: 50597.117  V  NULL    32359.      4858.0      16.225   0.163
OBS: 50598.078  B  NULL    9298.2      1353.1      17.579   0.158
OBS: 50598.082  V  NULL    32151.      3731.1      16.232   0.126
OBS: 50600.720  U  NULL    6498.3      269.33      17.968   0.045
OBS: 50600.720  B  NULL    9332.5      146.12      17.575   0.017
OBS: 50600.720  V  NULL    26989.      273.44      16.422   0.011
OBS: 50600.720  R  NULL    38725.      535.01      16.030   0.015
OBS: 50600.720  I  NULL    46387.      640.86      15.834   0.015
OBS: 50601.031  B  NULL    9594.0      1820.2      17.545   0.206
OBS: 50601.035  V  NULL    26964.      1564.6      16.423   0.063
OBS: 50609.660  U  NULL    6042.2      300.51      18.047   0.054
OBS: 50609.660  B  NULL    8480.0      164.01      17.679   0.021
OBS: 50609.660  V  NULL    22161.      224.52      16.636   0.011
OBS: 50609.660  R  NULL    28707.      423.05      16.355   0.016
OBS: 50609.660  I  NULL    32003.      471.62      16.237   0.016
END: 
