SURVEY:   LOWZ
SNID: 2006dd 
IAUC: 2006dd
FILTERS: UBVRI
RA:    50.673420 deg
DEC:   -37.203610 deg 
RA_HOST:    50.673830
DEC_HOST:   -37.208220
REDSHIFT_HELIO: 0.005871 +- 3.3e-05 
REDSHIFT_CMB: 0.0055149 +- 3.3e-05 
VPEC: -191.4918 +- 250.0
MWEBV:     0.018 +-  0.003        # SFD98 * 0.86 
PEAKMJD:  53979.930                # 53906.94 (old). at brightest obs 
HOSTGAL_LOGMASS:  11.01 +- 10.00  #  
# ----------------------------------- 
NOBS: 44
NVAR: 7 
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 53908.4 B NULL 370168.961 3081.196762 13.579 0.009 
OBS: 53912.41 B NULL 821864.0804 6078.083323 12.713 0.008 
OBS: 53914.4 B NULL 1001843.766 8339.104821 12.498 0.009 
OBS: 53918.4 B NULL 1163054.323 9680.982451 12.336 0.009 
OBS: 53930.38 B NULL 612068.4589 9658.930424 13.033 0.017 
OBS: 53933.38 B NULL 458352.9174 3815.218654 13.347 0.009 
OBS: 53945.38 B NULL 134029.3773 1364.803799 14.682 0.011 
OBS: 53951.36 B NULL 90698.47815 1261.741515 15.106 0.015 
OBS: 53961.29 B NULL 67297.66563 685.2834171 15.43 0.011 
OBS: 53968.33 B NULL 60422.6822 727.8160467 15.547 0.013 
OBS: 53974.32 B NULL 55769.91724 567.8978475 15.634 0.011 
OBS: 53908.4 V NULL 353508.6134 2286.517198 13.629 0.007 
OBS: 53912.41 V NULL 767008.1877 4961.059917 12.788 0.007 
OBS: 53914.4 V NULL 922146.6651 7675.725461 12.588 0.009 
OBS: 53918.4 V NULL 1116863.248 8259.745185 12.38 0.008 
OBS: 53930.38 V NULL 806863.3704 6716.135242 12.733 0.009 
OBS: 53933.38 V NULL 661911.6119 4895.157273 12.948 0.008 
OBS: 53945.38 V NULL 348979.5674 33316.64913 13.643 0.099 
OBS: 53951.36 V NULL 242325.9924 3144.899159 14.039 0.014 
OBS: 53961.29 V NULL 240657.832 1779.781341 14.0465 0.008 
OBS: 53968.33 V NULL 136395.4868 1388.897584 14.663 0.011 
OBS: 53974.32 V NULL 118467.7118 1206.341373 14.816 0.011 
OBS: 53908.4 R NULL 427366.0315 3160.578995 13.423 0.008 
OBS: 53912.41 R NULL 901986.4221 6670.626884 12.612 0.008 
OBS: 53914.4 R NULL 1059741.642 7837.303216 12.437 0.008 
OBS: 53918.4 R NULL 1213388.85 14615.76752 12.29 0.013 
OBS: 53930.38 R NULL 790678.628 8051.378111 12.755 0.011 
OBS: 53933.38 R NULL 790678.628 8051.378111 12.755 0.011 
OBS: 53945.38 R NULL 541003.4069 5005.842891 13.167 0.01 
OBS: 53951.36 R NULL 377050.9158 4190.435271 13.559 0.012 
OBS: 53961.29 R NULL 236809.9794 2852.473553 14.064 0.013 
OBS: 53968.33 R NULL 189147.2363 2808.016093 14.308 0.016 
OBS: 53974.32 R NULL 155883.4468 1877.680199 14.518 0.013 
OBS: 53908.4 I NULL 437320.6652 4453.17972 13.398 0.011 
OBS: 53912.41 I NULL 877404.788 8118.526546 12.642 0.01 
OBS: 53914.4 I NULL 1000921.458 8331.427757 12.499 0.009 
OBS: 53918.4 I NULL 985371.5069 10033.91049 12.516 0.011 
OBS: 53930.38 I NULL 573852.1327 6912.284847 13.103 0.013 
OBS: 53933.38 I NULL 544001.3782 5033.582778 13.161 0.01 
OBS: 53945.38 I NULL 669267.9069 6815.068456 12.936 0.011 
OBS: 53951.36 I NULL 505358.9948 10819.61074 13.241 0.023 
OBS: 53961.29 I NULL 294577.7902 2999.647503 13.827 0.011 
OBS: 53968.33 I NULL 223254.3862 3941.257612 14.128 0.019 
OBS: 53974.32 I NULL 173780.0829 2905.04697 14.4 0.018 
END:
