#lambda transmission
8230.0 0.0
8240.0 0.0
8250.0 0.0
8260.0 0.00329736179805
8270.0 0.00371910191493
8280.0 0.00430395293426
8290.0 0.00431005093323
8300.0 0.00431814797613
8310.0 0.00477242265615
8320.0 0.00549175310204
8330.0 0.00622630975633
8340.0 0.00696829979972
8350.0 0.0100416245716
8360.0 0.0105932495845
8370.0 0.0111631382822
8380.0 0.0117722901275
8390.0 0.0175292438986
8400.0 0.0212146875756
8410.0 0.0248378443213
8420.0 0.0285572276908
8430.0 0.0575017386779
8440.0 0.0541984462845
8450.0 0.0857985880838
8460.0 0.117467796189
8470.0 0.244230338492
8480.0 0.240407932978
8490.0 0.332667638416
8500.0 0.424536457073
8510.0 0.501619891874
8520.0 0.579169322545
8530.0 0.626874515171
8540.0 0.673650445842
8550.0 0.68820689055
8560.0 0.703456868509
8570.0 0.70151873889
8580.0 0.709188471657
8590.0 0.697208745337
8600.0 0.697065710684
8610.0 0.699735067292
8620.0 0.703533524057
8630.0 0.710441430326
8640.0 0.716857738757
8650.0 0.718320410468
8660.0 0.716554837132
8670.0 0.721031755162
8680.0 0.720333454278
8690.0 0.719652420157
8700.0 0.719715615845
8710.0 0.719834207214
8720.0 0.720388541444
8730.0 0.720790107038
8740.0 0.720259017103
8750.0 0.722951100002
8760.0 0.724276498789
8770.0 0.725667356247
8780.0 0.726791624958
8790.0 0.728313967434
8800.0 0.728975146909
8810.0 0.729773536976
8820.0 0.73071215114
8830.0 0.731977269947
8840.0 0.732597569602
8850.0 0.732421838972
8860.0 0.732154452333
8870.0 0.733677520368
8880.0 0.734523032539
8890.0 0.735635230566
8900.0 0.732130912012
8910.0 0.731135180693
8920.0 0.728089916847
8930.0 0.719770991812
8940.0 0.715344327774
8950.0 0.702979237669
8960.0 0.691798276805
8970.0 0.680667182262
8980.0 0.675566912149
8990.0 0.660793731964
9000.0 0.663986919988
9010.0 0.661160962758
9020.0 0.663150353329
9030.0 0.690753575099
9040.0 0.707760910562
9050.0 0.706938430008
9060.0 0.699272899755
9070.0 0.680693464653
9080.0 0.668002598545
9090.0 0.66681413221
9100.0 0.666876756408
9110.0 0.672776465826
9120.0 0.670087023572
9130.0 0.651693792571
9140.0 0.659537970481
9150.0 0.666622578925
9160.0 0.668128638223
9170.0 0.671348394994
9180.0 0.676150277771
9190.0 0.691494982468
9200.0 0.701564511615
9210.0 0.698070484832
9220.0 0.696427295566
9230.0 0.691921989254
9240.0 0.680344340096
9250.0 0.675676993702
9260.0 0.672797235752
9270.0 0.661482406788
9280.0 0.643428559736
9290.0 0.619481911847
9300.0 0.591437551582
9310.0 0.559736867236
9320.0 0.518677981597
9330.0 0.485471485944
9340.0 0.448170188989
9350.0 0.440803675262
9360.0 0.448689294749
9370.0 0.439440940894
9380.0 0.469582715743
9390.0 0.546482554846
9400.0 0.550049716658
9410.0 0.532769902382
9420.0 0.503808639381
9430.0 0.45773000401
9440.0 0.451469543819
9450.0 0.468485032039
9460.0 0.469623055871
9470.0 0.482724753362
9480.0 0.491140910897
9490.0 0.490905249305
9500.0 0.492653270096
9510.0 0.512084282208
9520.0 0.494657925434
9530.0 0.507953793674
9540.0 0.521808197256
9550.0 0.511496831406
9560.0 0.509238855258
9570.0 0.542968504437
9580.0 0.546388667335
9590.0 0.540258467229
9600.0 0.536687288277
9610.0 0.53201434759
9620.0 0.533025649685
9630.0 0.549033961173
9640.0 0.550016550618
9650.0 0.546886032993
9660.0 0.546943758451
9670.0 0.558125551066
9680.0 0.575871906602
9690.0 0.582650252222
9700.0 0.581269481368
9710.0 0.579254315388
9720.0 0.574059855016
9730.0 0.565714270425
9740.0 0.555909638337
9750.0 0.54855776134
9760.0 0.549744264739
9770.0 0.554196053593
9780.0 0.549103192506
9790.0 0.546888950466
9800.0 0.549797854469
9810.0 0.54600347508
9820.0 0.538384967171
9830.0 0.536786656401
9840.0 0.534940197014
9850.0 0.531191457872
9860.0 0.527384648021
9870.0 0.52182769965
9880.0 0.516599073248
9890.0 0.511264216142
9900.0 0.506489036699
9910.0 0.502400653336
9920.0 0.495125913023
9930.0 0.487658499014
9940.0 0.463993637059
9950.0 0.439956175431
9960.0 0.392976207237
9970.0 0.345685063611
9980.0 0.282870259957
9990.0 0.220290934775
10000.0 0.167481580517
10010.0 0.114375194679
10020.0 0.0813943032681
10030.0 0.0487987878504
10040.0 0.0342497169695
10050.0 0.0196320262078
10060.0 0.0139045768304
10070.0 0.00816662406678
10080.0 0.0062250804651
10090.0 0.00428859547962
10100.0 0.00339449901002
10110.0 0.0025028673141
10120.0 0.00189679714145
10130.0 0.00128878911427
10140.0 0.00133633394011
10150.0 0.0
10160.0 0.0
10170.0 0.0
10180.0 0.0
10190.0 0.0
10200.0 0.0
