#lambda transmission
5350.0 0.0
5360.0 0.0
5370.0 0.0
5380.0 0.0
5390.0 0.0
5400.0 0.0
5410.0 0.00170708609565
5420.0 0.00191134921348
5430.0 0.00220221658419
5440.0 0.00249314909011
5450.0 0.0028501717414
5460.0 0.00320741091684
5470.0 0.00357712422516
5480.0 0.00394704176166
5490.0 0.004487614248
5500.0 0.00502799993846
5510.0 0.00565547930202
5520.0 0.00628307043928
5530.0 0.00704404741836
5540.0 0.00780502863862
5550.0 0.00884233419413
5560.0 0.00987930856349
5570.0 0.0112642029755
5580.0 0.0126487290243
5590.0 0.014866685334
5600.0 0.0170833750934
5610.0 0.0225168761068
5620.0 0.0279437987194
5630.0 0.0479901706427
5640.0 0.0680209035394
5650.0 0.132946287057
5660.0 0.197819090112
5670.0 0.298157216201
5680.0 0.397680921067
5690.0 0.442783330989
5700.0 0.489912596143
5710.0 0.498334006497
5720.0 0.503679348759
5730.0 0.506194085882
5740.0 0.508482041048
5750.0 0.510714427402
5760.0 0.513301541201
5770.0 0.51588279107
5780.0 0.518765337429
5790.0 0.521186687207
5800.0 0.523806002315
5810.0 0.528415134024
5820.0 0.532622047969
5830.0 0.534624366801
5840.0 0.536509261346
5850.0 0.536568151426
5860.0 0.53655589654
5870.0 0.535014755976
5880.0 0.530907713291
5890.0 0.526357039488
5900.0 0.526606823918
5910.0 0.532778075268
5920.0 0.53347718018
5930.0 0.539121102127
5940.0 0.539782653792
5950.0 0.536845424253
5960.0 0.540524897815
5970.0 0.539966928196
5980.0 0.541974608789
5990.0 0.54385778491
6000.0 0.546523686996
6010.0 0.548702903496
6020.0 0.550205945883
6030.0 0.550630474166
6040.0 0.553735829441
6050.0 0.554672932147
6060.0 0.555495092242
6070.0 0.555434990863
6080.0 0.555372512545
6090.0 0.55629385678
6100.0 0.55723543213
6110.0 0.559945561804
6120.0 0.562648738025
6130.0 0.565076589531
6140.0 0.567492566279
6150.0 0.568770155899
6160.0 0.570030417594
6170.0 0.571468754626
6180.0 0.572833353862
6190.0 0.573197693729
6200.0 0.573537421083
6210.0 0.574104148827
6220.0 0.5746281468
6230.0 0.575444577864
6240.0 0.576271298835
6250.0 0.576779871617
6260.0 0.577110948646
6270.0 0.576115893819
6280.0 0.558858938901
6290.0 0.571749039501
6300.0 0.574281899872
6310.0 0.578042187918
6320.0 0.579701783719
6330.0 0.58295143319
6340.0 0.58503768367
6350.0 0.587522060264
6360.0 0.59016498564
6370.0 0.592679183605
6380.0 0.595660981641
6390.0 0.596718825268
6400.0 0.598112946373
6410.0 0.599394623732
6420.0 0.60079567639
6430.0 0.600908688381
6440.0 0.601511015624
6450.0 0.601192018544
6460.0 0.598521667956
6470.0 0.597342722572
6480.0 0.595875443977
6490.0 0.598802483297
6500.0 0.603662983868
6510.0 0.604154971596
6520.0 0.601009282349
6530.0 0.60683088244
6540.0 0.608009671325
6550.0 0.608392425552
6560.0 0.610839926093
6570.0 0.612624286414
6580.0 0.614971209429
6590.0 0.616378521835
6600.0 0.617337986888
6610.0 0.618627913611
6620.0 0.619340170699
6630.0 0.618885860443
6640.0 0.618730805366
6650.0 0.619368511962
6660.0 0.620061957386
6670.0 0.62211057041
6680.0 0.62421060211
6690.0 0.626065148608
6700.0 0.627891960606
6710.0 0.628806171278
6720.0 0.629694783221
6730.0 0.629876053912
6740.0 0.630053960968
6750.0 0.62986365906
6760.0 0.629649158748
6770.0 0.629989086471
6780.0 0.630328653637
6790.0 0.631381708116
6800.0 0.632283192047
6810.0 0.632745992072
6820.0 0.63336302454
6830.0 0.633839981799
6840.0 0.634119115647
6850.0 0.634743515153
6860.0 0.632536117867
6870.0 0.54791259824
6880.0 0.573753328457
6890.0 0.566475015008
6900.0 0.57986988871
6910.0 0.598094385892
6920.0 0.610557149612
6930.0 0.61305015787
6940.0 0.612468786216
6950.0 0.617409853396
6960.0 0.619989099321
6970.0 0.629167763255
6980.0 0.627139907168
6990.0 0.619324175725
7000.0 0.62109180645
7010.0 0.619732746233
7020.0 0.621578561678
7030.0 0.626726081385
7040.0 0.625262000203
7050.0 0.619824416192
7060.0 0.61775004913
7070.0 0.612512914725
7080.0 0.607328845189
7090.0 0.599915743423
7100.0 0.588107183578
7110.0 0.581697866076
7120.0 0.574883899649
7130.0 0.52803190948
7140.0 0.482241691882
7150.0 0.37555841702
7160.0 0.269685187492
7170.0 0.180142881534
7180.0 0.0965175014725
7190.0 0.0631356896773
7200.0 0.0300715421926
7210.0 0.0203378860159
7220.0 0.0093400945035
7230.0 0.00720614771947
7240.0 0.00502306680889
7250.0 0.0034809605129
7260.0 0.0019163132531
7270.0 0.0014159258735
7280.0 0.00090482261917
7290.0 0.000716904541791
7300.0 0.0005191616522
7310.0 0.000447350626468
7320.0 0.0003827516529
7330.0 0.000341112872786
7340.0 0.000295750685421
7350.0 0.0
7360.0 0.0
7370.0 0.0
7380.0 0.0
7390.0 0.0
7400.0 0.0
7410.0 0.0
7420.0 0.0
7430.0 0.0
7440.0 0.0
7450.0 0.0
