SURVEY:  PS1_LOWZ_COMBINED(CFA3K)
SNID: 2006N 
IAUC: 2006N
RA:    92.130170 deg
DECL:    64.723640 deg 
RA_HOST:    92.126620
DEC_HOST:    64.723690
MWEBV: 0.096 (SFD98)
REDSHIFT_HELIO: 0.014277 +- 8.3e-05 
REDSHIFT_CMB: 0.0142704 +- 8.3e-05 
VPEC: -187.3472 +- 250.0
HOSTGAL_LOGMASS: 10.5440 +- 0.437
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53760.723
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> fghij       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:  135
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53761.34943     f    NULL    85822.271       1515.077    15.166     0.019
OBS:  53764.31632     f    NULL    61150.498       1366.771    15.534     0.024
OBS:  53765.27345     f    NULL    56182.363       1255.729    15.626     0.024
OBS:  53765.27708     f    NULL    55872.744       1143.683    15.632     0.022
OBS:  53766.27612     f    NULL    51428.043       1392.152    15.722     0.029
OBS:  53766.27977     f    NULL    51999.600       1260.258    15.710     0.026
OBS:  53768.26714     f    NULL    41879.357        936.043    15.945     0.024
OBS:  53768.27076     f    NULL    39847.401        928.165    15.999     0.025
OBS:  53774.35341     f    NULL    17848.429        858.392    16.871     0.051
OBS:  53774.35705     f    NULL    16718.604       1015.123    16.942     0.064
OBS:  53776.36964     f    NULL    12246.162        791.508    17.280     0.068
OBS:  53776.37329     f    NULL    12977.768        953.800    17.217     0.077
OBS:  53777.21405     f    NULL    10356.190        740.667    17.462     0.075
OBS:  53777.21769     f    NULL    11240.872        859.536    17.373     0.080
OBS:  53786.22821     f    NULL     4222.795        502.185    18.436     0.122
OBS:  53786.23184     f    NULL     4587.753        447.253    18.346     0.101
OBS:  53787.21850     f    NULL     3760.105        416.275    18.562     0.114
OBS:  53787.22213     f    NULL     3959.132        696.729    18.506     0.176
OBS:  53788.24273     f    NULL     3416.646        420.426    18.666     0.126
OBS:  53798.23794     f    NULL     2054.944        802.647    19.218     0.358
OBS:  53800.15946     f    NULL     2491.151        897.291    19.009     0.334
OBS:  53800.16309     f    NULL     2214.114        699.285    19.137     0.298
OBS:  53808.19583     f    NULL     2301.442        846.306    19.095     0.340
OBS:  53811.17506     f    NULL     2098.940        763.919    19.195     0.337
OBS:  53811.17868     f    NULL     2639.976        776.670    18.946     0.280
OBS:  53813.15455     f    NULL     1841.620        874.819    19.337     0.422
OBS:  53761.34639     g    NULL    65042.916        722.868    15.467     0.012
OBS:  53763.22685     g    NULL    60645.698        504.800    15.543     0.009
OBS:  53764.30962     g    NULL    57174.187        635.417    15.607     0.012
OBS:  53765.27038     g    NULL    53802.196        547.861    15.673     0.011
OBS:  53766.27309     g    NULL    49158.656        500.576    15.771     0.011
OBS:  53768.26411     g    NULL    43331.129        441.235    15.908     0.011
