SURVEY:  PS1_LOWZ_COMBINED(CFA3K)
SNID: 2006bt 
IAUC: 2006bt
RA:   239.127210 deg
DECL:    20.046000 deg 
RA_HOST:   239.140330
DEC_HOST:    20.052360
MWEBV: 0.051 (SFD98)
REDSHIFT_HELIO: 0.032082 +- 7e-06 
REDSHIFT_CMB: 0.0324091 +- 7e-06 
VPEC: 349.3396 +- 250.0
HOSTGAL_LOGMASS: 11.0160 +- 0.102
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53858.266
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> fghij       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:  103
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53857.45700     f    NULL    15951.444        583.396    16.993     0.039
OBS:  53857.46100     f    NULL    15834.341        579.113    17.001     0.039
OBS:  53858.24900     f    NULL    15588.345        614.826    17.018     0.042
OBS:  53858.25200     f    NULL    16143.586        590.424    16.980     0.039
OBS:  53859.26100     f    NULL    14427.796        596.703    17.102     0.044
OBS:  53859.26500     f    NULL    14886.754        572.909    17.068     0.041
OBS:  53860.25200     f    NULL    14073.431        663.260    17.129     0.050
OBS:  53860.25500     f    NULL    13551.894        612.565    17.170     0.048
OBS:  53861.45300     f    NULL    12965.820        523.808    17.218     0.043
OBS:  53861.45700     f    NULL    13073.745        515.646    17.209     0.042
OBS:  53862.38600     f    NULL    11492.116        442.268    17.349     0.041
OBS:  53862.39000     f    NULL    11868.614        479.482    17.314     0.043
OBS:  53874.41700     f    NULL     2810.606        425.330    18.878     0.153
OBS:  53874.42100     f    NULL     3590.873        479.180    18.612     0.136
OBS:  53879.44100     f    NULL     2577.508        285.351    18.972     0.114
OBS:  53879.44400     f    NULL     2220.240        331.286    19.134     0.151
OBS:  53886.39000     f    NULL      889.611        259.601    20.127     0.278
OBS:  53890.38900     f    NULL      748.859        401.412    20.314     0.466
OBS:  53854.33600     g    NULL    13440.023        224.674    17.179     0.018
OBS:  53855.38400     g    NULL    13829.294        257.106    17.148     0.020
OBS:  53856.38300     g    NULL    14008.770        221.070    17.134     0.017
OBS:  53857.45400     g    NULL    14021.678        247.534    17.133     0.019
OBS:  53858.25600     g    NULL    13982.988        233.751    17.136     0.018
OBS:  53859.26900     g    NULL    13664.697        241.232    17.161     0.019
OBS:  53860.25900     g    NULL    13206.873        245.534    17.198     0.020
OBS:  53861.45000     g    NULL    12257.446        216.389    17.279     0.019
