SURVEY:  PS1_LOWZ_COMBINED(CFA3K)
SNID: 2005eu 
IAUC: 2005eu
RA:    36.930250 deg
DECL:    28.176830 deg 
RA_HOST:    36.930500
DEC_HOST:    28.177110
MWEBV: 0.135 (SFD98)
REDSHIFT_HELIO: 0.03449 +- 0.005 
REDSHIFT_CMB: 0.0336861 +- 0.005 
VPEC: -427.5545 +- 250.0
HOSTGAL_LOGMASS: -1.00000 +- 0.0
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 53660.715
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> fghij       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:   96
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  53679.37300     j    NULL     4668.743        148.516    18.327     0.034
OBS:  53680.38200     j    NULL     4655.861        134.850    18.330     0.031
OBS:  53681.33300     j    NULL     4600.447        124.534    18.343     0.029
OBS:  53682.37500     j    NULL     4857.357        159.134    18.284     0.035
OBS:  53683.37500     j    NULL     5460.092        257.326    18.157     0.050
OBS:  53685.36800     j    NULL     4988.845        187.223    18.255     0.040
OBS:  53686.33700     j    NULL     4821.698        264.579    18.292     0.058
OBS:  53687.36200     j    NULL     4777.492        229.766    18.302     0.051
OBS:  53687.37800     j    NULL     5114.463        285.615    18.228     0.059
OBS:  53691.39500     j    NULL     5592.423        405.488    18.131     0.076
OBS:  53694.37800     j    NULL     5888.437        351.785    18.075     0.063
OBS:  53695.38700     j    NULL     5812.996        240.413    18.089     0.044
OBS:  53696.38000     j    NULL     5171.303        164.502    18.216     0.034
OBS:  53706.38800     j    NULL     2795.117        110.243    18.884     0.042
END:
