SURVEY:  PS1_LOWZ_COMBINED(CFA3K)
SNID: 2006qo 
IAUC: 2006qo
RA:   120.034880 deg
DECL:    56.368810 deg 
RA_HOST:   120.035620
DEC_HOST:    56.365610
MWEBV: 0.040 (SFD98)
REDSHIFT_HELIO: 0.029704 +- 8.3e-05 
REDSHIFT_CMB: 0.0300446 +- 8.3e-05 
VPEC: -197.6491 +- 250.0
HOSTGAL_LOGMASS: 9.48100 +- 0.029
PRIVATE(COSMO): 1
SEARCH_PEAKMJD: 54083.031
FILTERS:  abcdefghijklmnopqrstuvwxyzABCDEFGHIJK  # UBVri -> fghij       
 
# ========================================
# FLUXCAL = 10^[ -0.4*mag + 11 ] 
#
 
NOBS:  104
NVAR: 7 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR  MAG    MAGERR
OBS:  54095.39088     j    NULL     7670.082        185.891    17.788     0.026
OBS:  54100.21278     j    NULL     6842.267        276.422    17.912     0.043
OBS:  54100.23343     j    NULL     7291.217        294.559    17.843     0.043
OBS:  54101.21975     j    NULL     7271.098        272.873    17.846     0.040
OBS:  54101.28752     j    NULL     6600.852        197.443    17.951     0.032
OBS:  54102.25258     j    NULL     6444.660        403.912    17.977     0.066
OBS:  54108.38221     j    NULL     7719.692        172.542    17.781     0.024
OBS:  54110.41014     j    NULL     8256.576        184.542    17.708     0.024
OBS:  54114.34325     j    NULL     8226.214        176.121    17.712     0.023
OBS:  54117.33848     j    NULL     7251.035        162.067    17.849     0.024
OBS:  54126.35522     j    NULL     4164.856        152.322    18.451     0.039
OBS:  54128.16050     j    NULL     3627.438        192.005    18.601     0.056
OBS:  54134.38358     j    NULL     3036.687        229.192    18.794     0.079
OBS:  54135.24535     j    NULL     2635.118        159.999    18.948     0.064
OBS:  54137.16811     j    NULL     2504.955        101.198    19.003     0.043
OBS:  54138.15859     j    NULL     2551.526        103.080    18.983     0.043
OBS:  54139.19632     j    NULL     2429.965        140.431    19.036     0.061
OBS:  54140.24826     j    NULL     2339.915         99.019    19.077     0.045
OBS:  54140.37815     j    NULL     2454.709        151.445    19.025     0.065
OBS:  54144.17179     j    NULL     2157.744        107.943    19.165     0.053
OBS:  54148.15015     j    NULL     1745.822        121.417    19.395     0.073
OBS:  54149.15216     j    NULL     1461.504        170.796    19.588     0.120
OBS:  54153.15093     j    NULL     1434.829         91.331    19.608     0.067
END:
