SURVEY: CSP
SNTYPE: 1
SNID: 2017cbv 
IAUC: 2017cbv
RA:   218.143420 deg
DECL:   -44.134090 deg 
RA_HOST:   218.169750
DEC_HOST:   -44.174420
FILTERS: ugriBomn
REDSHIFT_HELIO: 0.004113 +- 0.00015 
REDSHIFT_CMB: 0.0047809 +- 0.00015 
VPEC: 440.8658 +- 250.0
MWEBV: 0.1453  MW E(B-V)
SEARCH_PEAKMJD: 57826.1
NOBS: 360
NVAR: 7
VARLIST: MJD FILTER FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 57822.30000 B VOID 47643.10000 796.44000 15.80500 0.01800
OBS: 57822.30000 B VOID 48172.60000 715.15400 15.79300 0.01600
OBS: 57822.30000 B VOID 49158.70000 454.85900 15.77100 0.01000
OBS: 57823.20000 B VOID 106758.00000 1584.89000 14.92900 0.01600
OBS: 57823.20000 B VOID 108443.00000 902.65000 14.91200 0.00900
OBS: 57823.30000 B VOID 117923.00000 1640.48000 14.82100 0.01500
OBS: 57823.30000 B VOID 117058.00000 1300.95000 14.82900 0.01200
OBS: 57823.40000 B VOID 127879.00000 1778.98000 14.73300 0.01500
OBS: 57823.40000 B VOID 123823.00000 1376.13000 14.76800 0.01200
OBS: 57824.40000 B VOID 184672.00000 1194.47000 14.33400 0.00700
OBS: 57825.40000 B VOID 248199.00000 2065.95000 14.01300 0.00900
OBS: 57826.30000 B VOID 327491.00000 4861.83000 13.71200 0.01600
OBS: 57826.30000 B VOID 334195.00000 3403.06000 13.69000 0.01100
OBS: 57827.30000 B VOID 432116.00000 6011.33000 13.41100 0.01500
OBS: 57827.30000 B VOID 432116.00000 5205.01000 13.41100 0.01300
OBS: 57828.30000 B VOID 585599.00000 7053.78000 13.08100 0.01300
OBS: 57831.40000 B VOID 1113780.00000 11341.50000 12.38300 0.01100
OBS: 57833.30000 B VOID 1472310.00000 19107.60000 12.08000 0.01400
OBS: 57838.30000 B VOID 1973330.00000 23769.60000 11.76200 0.01300
OBS: 57849.30000 B VOID 1484570.00000 17882.20000 12.07100 0.01300
OBS: 57850.30000 B VOID 1365210.00000 15172.60000 12.16200 0.01200
OBS: 57851.20000 B VOID 1251990.00000 13914.20000 12.25600 0.01200
OBS: 57851.20000 B VOID 1262410.00000 15206.20000 12.24700 0.01300
OBS: 57852.30000 B VOID 1169500.00000 9734.63000 12.33000 0.00900
OBS: 57856.30000 B VOID 791407.00000 5852.84000 12.75400 0.00800
OBS: 57864.30000 B VOID 365090.00000 4397.66000 13.59400 0.01300
OBS: 57864.30000 B VOID 371535.00000 3783.30000 13.57500 0.01100
OBS: 57865.30000 B VOID 342295.00000 4123.08000 13.66400 0.01300
OBS: 57866.30000 B VOID 316811.00000 3816.12000 13.74800 0.01300
OBS: 57866.30000 B VOID 315937.00000 3511.23000 13.75100 0.01200
OBS: 57867.20000 B VOID 293495.00000 4082.92000 13.83100 0.01500
OBS: 57867.20000 B VOID 295121.00000 3830.07000 13.82500 0.01400
OBS: 57869.30000 B VOID 253513.00000 2110.18000 13.99000 0.00900
OBS: 57870.30000 B VOID 235722.00000 3719.88000 14.06900 0.01700
OBS: 57870.30000 B VOID 232916.00000 3022.78000 14.08200 0.01400
OBS: 57870.30000 B VOID 237684.00000 2863.00000 14.06000 0.01300
OBS: 57871.40000 B VOID 222229.00000 1437.39000 14.13300 0.00700
OBS: 57872.30000 B VOID 211252.00000 1562.31000 14.18800 0.00800
OBS: 57875.40000 B VOID 178813.00000 1987.28000 14.36900 0.01200
OBS: 57875.40000 B VOID 178813.00000 990.89500 14.36900 0.00600
OBS: 57876.40000 B VOID 170451.00000 944.55600 14.42100 0.00600
OBS: 57882.30000 B VOID 135145.00000 1376.16000 14.67300 0.01100
OBS: 57882.30000 B VOID 137531.00000 889.55800 14.65400 0.00700
OBS: 57888.40000 B VOID 119015.00000 769.79400 14.81100 0.00700
OBS: 57889.30000 B VOID 117274.00000 867.29500 14.82700 0.00800
