SURVEY: CSP
SNID: 2013aa 
IAUC: 2013aa
MWEBV: 0.1461 MW E(B-V) (SF11)
RA:   218.141170 deg
DECL:   -44.224390 deg 
RA_HOST:   218.169750
DEC_HOST:   -44.174420
REDSHIFT_HELIO: 0.004113 +- 0.00015 
REDSHIFT_CMB: 0.0047809 +- 0.00015 
VPEC: 440.8658 +- 250.0
FILTERS: ugriBomn
SEARCH_PEAKMJD: 56349.5
NOBS: 366
NVAR: 7
VARLIST: MJD FILTER FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 56685.30000 n VOID 2454.71000 27.28090 19.02500 0.01200
OBS: 56707.30000 n VOID 1673.40000 54.82300 19.44100 0.03500
OBS: 56714.30000 n VOID 1487.30000 27.65110 19.56900 0.02000
OBS: 56714.30000 n VOID 1568.92000 29.16830 19.51100 0.02000
OBS: 56714.30000 n VOID 1577.61000 29.33000 19.50500 0.02000
OBS: 56724.30000 n VOID 1397.01000 27.28360 19.63700 0.02100
OBS: 56756.20000 n VOID 898.66900 20.08610 20.11600 0.02400
OBS: 56762.30000 n VOID 897.84200 52.76260 20.11700 0.06200
OBS: 56783.40000 n VOID 547.01600 26.83620 20.65500 0.05200
OBS: 56338.40000 u VOID 1331680.00000 17282.50000 12.18900 0.01400
OBS: 56339.40000 u VOID 1393160.00000 19380.70000 12.14000 0.01500
OBS: 56340.40000 u VOID 1426920.00000 15858.40000 12.11400 0.01200
OBS: 56341.40000 u VOID 1426920.00000 15858.40000 12.11400 0.01200
OBS: 56342.40000 u VOID 1412540.00000 15698.50000 12.12500 0.01200
OBS: 56343.40000 u VOID 1389310.00000 16734.80000 12.14300 0.01300
OBS: 56344.40000 u VOID 1281150.00000 21416.70000 12.23100 0.01800
OBS: 56345.40000 u VOID 1235950.00000 17193.70000 12.27000 0.01500
OBS: 56346.40000 u VOID 1181410.00000 17538.80000 12.31900 0.01600
OBS: 56351.40000 u VOID 762079.00000 9890.24000 12.79500 0.01400
OBS: 56352.40000 u VOID 706643.00000 8511.80000 12.87700 0.01300
OBS: 56353.40000 u VOID 638557.00000 5315.20000 12.98700 0.00900
OBS: 56354.40000 u VOID 583983.00000 5403.53000 13.08400 0.01000
OBS: 56355.40000 u VOID 521435.00000 4340.30000 13.20700 0.00900
OBS: 56357.40000 u VOID 404017.00000 4114.06000 13.48400 0.01100
OBS: 56358.30000 u VOID 365763.00000 3724.52000 13.59200 0.01100
OBS: 56359.40000 u VOID 318860.00000 2358.12000 13.74100 0.00800
OBS: 56360.40000 u VOID 287078.00000 3190.50000 13.85500 0.01200
OBS: 56364.40000 u VOID 171712.00000 1588.83000 14.41300 0.01000
OBS: 56365.40000 u VOID 151356.00000 1682.13000 14.55000 0.01200
OBS: 56366.30000 u VOID 137531.00000 2299.08000 14.65400 0.01800
OBS: 56367.40000 u VOID 122914.00000 1480.55000 14.77600 0.01300
OBS: 56368.30000 u VOID 113136.00000 941.71500 14.86600 0.00900
OBS: 56369.30000 u VOID 102235.00000 945.97000 14.97600 0.01000
OBS: 56371.40000 u VOID 85506.70000 791.18300 15.17000 0.01000
OBS: 56372.40000 u VOID 79359.70000 586.90300 15.25100 0.00800
OBS: 56373.40000 u VOID 73858.40000 546.21900 15.32900 0.00800
OBS: 56374.40000 u VOID 69438.40000 1030.86000 15.39600 0.01600
OBS: 56376.40000 u VOID 62921.60000 465.33600 15.50300 0.00800
OBS: 56377.30000 u VOID 60925.60000 677.11000 15.53800 0.01200
OBS: 56378.40000 u VOID 58830.20000 1259.54000 15.57600 0.02300
OBS: 56379.30000 u VOID 54903.50000 610.18200 15.65100 0.01200
OBS: 56380.30000 u VOID 53358.10000 642.72000 15.68200 0.01300
OBS: 56381.30000 u VOID 51808.40000 575.78300 15.71400 0.01200
OBS: 56382.40000 u VOID 49934.40000 415.64200 15.75400 0.00900
OBS: 56384.40000 u VOID 46859.80000 433.58800 15.82300 0.01000
OBS: 56386.40000 u VOID 43651.60000 282.34100 15.90000 0.00700
OBS: 56393.40000 u VOID 38406.10000 284.03200 16.03900 0.00800
OBS: 56397.40000 u VOID 35448.70000 262.16000 16.12600 0.00800
OBS: 56400.30000 u VOID 33481.10000 309.79700 16.18800 0.01000
OBS: 56403.20000 u VOID 32181.00000 297.76700 16.23100 0.01000
OBS: 56406.20000 u VOID 29895.10000 276.61600 16.31100 0.01000
OBS: 56409.30000 u VOID 28602.20000 291.25300 16.35900 0.01100
OBS: 56417.20000 u VOID 24188.00000 178.88200 16.54100 0.00800
OBS: 56422.40000 u VOID 21617.20000 179.93700 16.66300 0.00900
OBS: 56426.20000 u VOID 20549.40000 209.25200 16.71800 0.01100
OBS: 56434.20000 u VOID 17362.00000 257.75000 16.90100 0.01600
OBS: 56436.30000 u VOID 17029.40000 428.79600 16.92200 0.02700
OBS: 56444.10000 u VOID 13689.90000 139.40200 17.15900 0.01100
OBS: 56446.20000 u VOID 13366.00000 136.10400 17.18500 0.01100
OBS: 56448.20000 u VOID 12787.90000 106.44400 17.23300 0.00900
OBS: 56338.40000 g VOID 1846720.00000 8524.05000 11.83400 0.00500
OBS: 56339.40000 g VOID 1998940.00000 16638.70000 11.74800 0.00900
OBS: 56340.40000 g VOID 2110570.00000 13651.30000 11.68900 0.00700
OBS: 56341.40000 g VOID 2183740.00000 10079.70000 11.65200 0.00500
OBS: 56342.40000 g VOID 2208000.00000 10191.70000 11.64000 0.00500
OBS: 56343.40000 g VOID 2220240.00000 14360.70000 11.63400 0.00700
OBS: 56344.40000 g VOID 2216150.00000 14334.20000 11.63600 0.00700
OBS: 56345.40000 g VOID 2143880.00000 21830.80000 11.67200 0.01100
OBS: 56346.40000 g VOID 2149810.00000 21891.20000 11.66900 0.01100
OBS: 56351.40000 g VOID 1723460.00000 14345.60000 11.90900 0.00900
OBS: 56351.40000 g VOID 1725040.00000 14358.80000 11.90800 0.00900
OBS: 56352.40000 g VOID 1662650.00000 16930.50000 11.94800 0.01100
OBS: 56353.40000 g VOID 1598090.00000 11818.60000 11.99100 0.00800
OBS: 56354.40000 g VOID 1490050.00000 9637.72000 12.06700 0.00700
OBS: 56355.30000 g VOID 1399590.00000 12950.20000 12.13500 0.01000
OBS: 56356.40000 g VOID 1306170.00000 8448.40000 12.21000 0.00700
OBS: 56357.40000 g VOID 1205590.00000 8915.93000 12.29700 0.00800
OBS: 56358.30000 g VOID 1136580.00000 9460.62000 12.36100 0.00900
OBS: 56359.40000 g VOID 1035620.00000 4780.20000 12.46200 0.00500
OBS: 56360.40000 g VOID 967386.00000 8052.29000 12.53600 0.00900
OBS: 56364.40000 g VOID 698876.00000 3225.86000 12.88900 0.00500
OBS: 56365.40000 g VOID 644466.00000 5364.38000 12.97700 0.00900
OBS: 56366.30000 g VOID 599791.00000 7224.73000 13.05500 0.01300
OBS: 56367.40000 g VOID 548530.00000 4565.83000 13.15200 0.00900
OBS: 56368.30000 g VOID 506757.00000 4688.97000 13.23800 0.01000
OBS: 56369.30000 g VOID 466015.00000 3879.00000 13.32900 0.00900
