SURVEY:              DES 
SNID: 1283878 
IAUC: UNKNOWN
FILTERS:             griz 
FAKE:                0 
RA:    37.133164
DECL:    -4.041299
TYPE:                 1    #  OVERRIDE 
PEAKMJD:              57262.832031    #  OVERRIDE 
PSF_UNIT:            SIGMA-PIXELS 
REDSHIFT_HELIO: 0.3139 +- 0.0005 
REDSHIFT_CMB: 0.3128682 +- 0.0005 
VPEC: -20.314722 +- 250.0
PIXSIZE:             0.270 # arcsec 
MWEBV:       0.02690 
MWEBV_ERR:   0.00140 

HOSTGAL_OBJID:       18625 
HOSTGAL_PHOTOZ:      0.2923 +- 0.0465 
HOSTGAL_SPECZ:       0.3145 +- -9.0000 
HOSTGAL_SNSEP:       0.07 
HOSTGAL_LOGMASS:      11.409 +- 0.1955    #  OVERRIDE 
HOSTGAL_MAG:         21.15 19.78 19.21 18.90 
HOSTGAL_SB_FLUXCAL:  69.67 265.73 438.04 615.88 


# Appended from HEADER-override file. 
PRIVATE(DES_mjd_latest_ml):      57278.258000 
PRIVATE(DES_mjd_trigger):        57257.323000 

# ---------------------- 
NOBS: 84
NVAR: 12
VARLIST:  MJD BAND FIELD FLUXCAL FLUXCALERR SIM_MAGOBS ZPFLUX PSF SKYSIG GAIN PHOTFLAG PHOTPROB
OBS: 57327.183 r X3   20.263    3.298   99.000 31.7850 1.8066 16.3307 3.7528     0 1.12 
OBS: 57329.071 i X3   23.662    3.912   99.000 31.6078 2.4067 14.3582 3.7558 65536 1.07 
OBS: 57329.116 z X3   19.133    4.446   99.000 31.1827 2.3062 12.3714 3.9398     0 1.02 
OBS: 57331.067 g X3    5.410    3.340   99.000 30.8138 2.9149 4.8939 3.6136     0 1.06 
OBS: 57331.145 r X3   14.314    3.495   99.000 31.8090 2.5144 11.6407 3.6394     0 1.07 
OBS: 57339.047 i X3    9.673    4.465   99.000 31.6177 2.8994 14.4830 3.7405     0 1.04 
OBS: 57339.072 z X3    7.131    4.605   99.000 31.2352 2.6564 12.5283 3.9163     0 1.02 
OBS: 57339.173 g X3    1.457    5.606   99.000 30.8630 2.9900 8.5100 3.5700 32768 1.12 
OBS: 57339.187 r X3   11.094    3.935   99.000 31.7870 2.2043 13.7744 3.6000 32768 1.17 
OBS: 57345.135 i X3   20.347    3.694   99.000 31.6309 2.2170 14.5524 3.7543     0 1.09 
OBS: 57345.162 z X3   10.604    3.475   99.000 31.2027 1.9711 11.2445 3.9431     0 1.08 
OBS: 57346.038 g X3   -4.434    5.478   99.000 30.7912 2.2258 11.8606 3.7795     0 1.01 
OBS: 57355.170 r X3    1.075    3.956   99.000 31.7691 1.9190 19.8959 3.7392     0 1.04 
OBS: 57355.187 i X3   12.998    3.433   99.000 31.5989 1.7259 17.3035 3.8302     0 1.07 
OBS: 57356.033 z X3    3.982    3.197   99.000 31.2243 1.8014 11.3157 3.9404     0 1.07 
OBS: 57356.109 g X3   -0.549    2.401   99.000 30.8380 1.9078 4.7344 3.5928     0 1.06 
OBS: 57365.062 r X3    5.702    4.688   99.000 31.7780 1.7600 16.8900 3.6400 32768 1.19 
OBS: 57365.082 i X3   15.217    2.985   99.000 31.6023 1.6202 12.3539 3.7300 32768 1.07 
OBS: 57366.067 g X3    5.085    2.606   99.000 30.8470 2.1467 4.7304 3.6096     0 1.12 
OBS: 57366.076 z X3   10.373    3.402   99.000 31.1824 1.7193 12.9684 3.9392     0 1.05 
OBS: 57372.057 r X3   -5.404    5.090   99.000 31.6851 2.3618 15.0646 3.6166 32768 1.06 
OBS: 57372.074 i X3    7.056    4.280   99.000 31.6075 2.1479 15.4619 3.7169 32768 1.09 
OBS: 57373.064 g X3    1.125    3.159   99.000 30.8725 2.1921 6.9840 3.7200     0 1.01 
OBS: 57373.075 z X3   10.330    3.515   99.000 31.1994 1.7244 13.5273 3.9427 32768 1.06 
OBS: 57385.042 i X3    6.121    4.292   99.000 31.6404 2.2590 15.3276 3.7563 32768 1.10 
OBS: 57386.056 g X3   -4.296    2.655   99.000 30.8682 2.3309 4.7843 3.6040     0 1.10 
OBS: 57387.044 z X3    6.372    3.615   99.000 31.1403 1.8356 11.6217 3.9579 32768 1.02 
OBS: 57389.085 i X3   -3.113    4.933   99.000 31.6284 2.8126 15.7142 3.7552 32768 1.05 
OBS: 57394.072 g X3   -3.198    3.646   99.000 30.8619 2.6253 5.9255 3.6751 32768 1.07 
OBS: 57394.084 r X3   -1.019    5.675   99.000 31.7940 2.2800 18.9500 3.6000 32768 1.12 
OBS: 57395.046 z X3    7.129    4.396   99.000 31.1228 2.4091 11.6698 3.9548     0 1.02 
OBS: 57396.072 i X3    4.139    4.450   99.000 31.6109 2.0066 18.7979 3.7935 32768 1.07 
OBS: 57400.115 g X3   -0.817    3.647   99.000 30.7292 2.6726 5.7881 3.6728     0 0.98 
OBS: 57401.044 r X3   -0.907    3.080   99.000 31.7703 1.9826 11.8271 3.6782     0 1.08 
OBS: 57402.063 z X3   35.864    3.410   99.000 31.1410 1.4359 13.5857 3.9594 98304 1.06 
OBS: 57403.073 i X3    6.580    3.809   99.000 31.6186 1.5613 18.9487 3.8322     0 1.08 
OBS: 57406.100 r X3   34.019    8.513   99.000 31.7478 2.4574 29.2761 3.8100     0 0.94 
