SURVEY:              DES 
SNID: 1266657 
IAUC: UNKNOWN
FILTERS:             griz 
FAKE:                0 
RA:    43.273075
DECL:     0.557482
TYPE:                 1    #  OVERRIDE 
PEAKMJD:              56685.992188    #  OVERRIDE 
PSF_UNIT:            SIGMA-PIXELS 
REDSHIFT_HELIO: 0.322 +- 0.005 
REDSHIFT_CMB: 0.3210806 +- 0.005 
VPEC: -22.299449 +- 250.0
PIXSIZE:             0.270 # arcsec 
MWEBV:       0.08710 
MWEBV_ERR:   0.00140 

HOSTGAL_OBJID:       -888 
HOSTGAL_PHOTOZ:      -9.0000 +- -9.0000 
HOSTGAL_SPECZ:       -9.0000 +- -9.0000 
HOSTGAL_SNSEP:       -9.00 
HOSTGAL_LOGMASS:      2.0 +- 2.0    #  OVERRIDE 
HOSTGAL_MAG:         888.00 888.00 888.00 888.00 
HOSTGAL_SB_FLUXCAL:  -0.30 0.17 0.36 0.15 


# Appended from HEADER-override file. 
PRIVATE(DES_mjd_latest_ml):      56697.044000 
PRIVATE(DES_mjd_trigger):        56683.039000 

# ---------------------- 
NOBS: 94
NVAR: 12
VARLIST:  MJD BAND FIELD FLUXCAL FLUXCALERR SIM_MAGOBS ZPFLUX PSF SKYSIG GAIN PHOTFLAG PHOTPROB
OBS: 56629.038 g S1    7.304    8.038   99.000 30.7200 3.8100 9.4500 3.6700     0 0.82 
OBS: 56629.040 r S1    4.165    7.748   99.000 30.7640 3.2700 11.8500 3.6400     0 0.78 
OBS: 56629.042 i S1  -33.364   11.581   99.000 30.9940 3.5000 20.4000 3.8800     0 0.80 
OBS: 56629.045 z S1   -2.088   14.309   99.000 30.7063 3.3259 20.0623 3.9700     0 0.72 
OBS: 56636.041 g S1   10.905    8.303   99.000 30.8020 2.1600 18.5200 3.7500     0 0.85 
OBS: 56636.044 r S1   -7.047    6.417   99.000 30.8590 1.9400 18.1800 3.7100     0 0.95 
OBS: 56636.046 i S1    0.377    6.489   99.000 31.0640 1.7100 26.8400 3.8600     0 0.75 
OBS: 56636.048 z S1   -9.347    7.849   99.000 30.7255 1.6459 24.3201 3.9551     0 0.81 
OBS: 56645.136 g S1   17.251   15.433   99.000 30.7590 1.9200 31.9300 3.8100     0 1.08 
OBS: 56645.138 r S1  -15.386    8.842   99.000 30.8210 1.8200 28.7900 3.7700     0 0.93 
OBS: 56645.140 i S1  -13.908    8.311   99.000 31.0360 1.7300 32.8700 3.9200     0 0.82 
OBS: 56645.143 z S1    3.103    8.704   99.000 30.6575 1.7250 24.3062 3.9650     0 0.85 
OBS: 56649.132 g S1    1.731    6.978   99.000 30.7720 3.1500 10.3100 3.7100     0 0.88 
OBS: 56649.134 r S1    6.384    7.334   99.000 30.8180 2.7400 13.7600 3.6800     0 0.84 
OBS: 56649.136 i S1    8.223    8.005   99.000 31.0400 2.4700 23.4200 3.8500     0 0.79 
OBS: 56649.139 z S1   -2.188   10.680   99.000 30.6655 2.3600 21.5153 3.9650     0 0.85 
OBS: 56653.147 g S1    8.275    6.877   99.000 30.7110 3.7100 8.2800 3.6100     0 0.89 
OBS: 56653.149 r S1   -4.013    7.789   99.000 30.7740 3.2900 11.8400 3.6500     0 0.79 
OBS: 56653.151 i S1  -15.495    9.880   99.000 31.0060 2.9000 21.8200 3.8800     0 0.83 
OBS: 56653.153 z S1    0.369   17.221   99.000 30.6180 3.3948 21.9152 3.9604     0 0.85 
OBS: 56660.061 g S1   -3.078    4.587   99.000 30.7740 2.2000 8.7400 3.6300     0 0.89 
OBS: 56660.063 r S1    1.665    4.619   99.000 30.8200 2.0200 12.3400 3.6300     0 0.82 
OBS: 56660.065 i S1    4.639    6.554   99.000 31.0290 1.9600 23.3700 3.8700     0 0.80 
OBS: 56660.068 z S1   -3.620    9.256   99.000 30.6375 1.8402 22.7299 3.9700     0 0.85 
OBS: 56669.044 g S1    0.535   14.283   99.000 30.7780 1.9100 34.1800 3.8200     0 0.95 
OBS: 56669.046 r S1   39.903   10.632   99.000 30.7980 1.7200 33.6000 3.7700     0 0.92 
OBS: 56669.048 i S1   17.274   10.429   99.000 31.0280 1.6500 42.4800 3.9300     0 0.79 
OBS: 56669.051 z S1   23.653   10.361   99.000 30.6791 1.5246 33.8059 3.9249     0 0.94 
OBS: 56676.058 g S1   51.605    8.281   99.000 30.6910 2.2300 16.3300 3.7700     0 0.87 
OBS: 56676.060 r S1   72.730    8.365   99.000 30.7550 2.2500 18.2900 3.7000     0 0.88 
OBS: 56676.062 i S1   69.148    7.168   99.000 30.9790 1.9500 23.6100 3.8600     0 0.81 
OBS: 56676.064 z S1   77.561    8.927   99.000 30.5440 1.9758 17.9517 3.9400     0 0.83 
OBS: 56683.039 g S1   92.575    8.461   99.000 30.6680 2.9700 12.1100 3.7200     0 0.98 
OBS: 56683.042 r S1  129.410    8.415   99.000 30.7000 2.8700 13.5700 3.6900     0 0.85 
OBS: 56683.042 i S1  109.594    9.322   99.000 30.9420 2.6300 23.6100 3.8500 65536 0.86 
OBS: 56683.046 z S1  105.629   12.198   99.000 30.5365 2.3959 21.4773 3.9554     0 0.94 
OBS: 56690.065 g S1   77.890    4.996   99.000 30.6490 2.0000 9.0300 3.6600     0 0.73 
OBS: 56690.068 r S1  136.759    5.823   99.000 30.7160 1.8600 13.2800 3.6800     0 0.88 
OBS: 56690.070 i S1  140.282    7.142   99.000 30.9470 1.7400 23.7500 3.8700     0 0.79 
OBS: 56690.072 z S1  117.361    8.939   99.000 30.5710 1.7349 22.2770 3.9600     0 0.90 
