SURVEY:              DES 
SNID: 1343871 
IAUC: UNKNOWN
FILTERS:             griz 
FAKE:                0 
RA:    43.502541
DECL:    -0.370269
TYPE:                 1    #  OVERRIDE 
PEAKMJD:              57386.675781    #  OVERRIDE 
PSF_UNIT:            SIGMA-PIXELS 
REDSHIFT_HELIO: 0.639 +- 0.0005 
REDSHIFT_CMB: 0.6378707 +- 0.0005 
VPEC: -12.302494 +- 250.0
PIXSIZE:             0.270 # arcsec 
MWEBV:       0.06530 
MWEBV_ERR:   0.00120 

HOSTGAL_OBJID:       44512 
HOSTGAL_PHOTOZ:      1.1876 +- 0.1150 
HOSTGAL_SPECZ:       -9.0000 +- -9.0000 
HOSTGAL_SNSEP:       0.66 
HOSTGAL_LOGMASS:      8.743 +- 0.9285    #  OVERRIDE 
HOSTGAL_MAG:         24.91 24.60 24.34 23.81 
HOSTGAL_SB_FLUXCAL:  2.02 3.66 5.47 5.98 


# Appended from HEADER-override file. 
PRIVATE(DES_mjd_latest_ml):      57401.068000 
PRIVATE(DES_mjd_trigger):        57385.078000 

# ---------------------- 
NOBS: 48
NVAR: 12
VARLIST:  MJD BAND FIELD FLUXCAL FLUXCALERR SIM_MAGOBS ZPFLUX PSF SKYSIG GAIN PHOTFLAG PHOTPROB
OBS: 57325.212 g S1  -13.771   15.022   99.000 30.6420 1.9300 32.6100 4.3000     0 0.93 
OBS: 57325.214 r S1    0.311   11.110   99.000 30.7190 1.8400 32.8100 3.9700     0 0.92 
OBS: 57325.216 i S1  -26.484    8.812   99.000 30.9650 1.7300 38.9500 4.0000     0 1.08 
OBS: 57325.219 z S1    3.072   13.569   99.000 30.6590 1.8300 39.5500 4.2500     0 0.98 
OBS: 57327.120 g S1    1.605    3.319   99.000 30.6300 2.3100 7.7900 4.1400     0 1.11 
OBS: 57327.122 r S1   -0.817    4.751   99.000 30.7030 1.9800 12.0800 3.8900     0 1.13 
OBS: 57327.124 i S1    0.778    6.285   99.000 30.9500 1.9600 22.1400 3.9300     0 1.10 
OBS: 57327.127 z S1    7.828    8.259   99.000 30.6214 1.9588 21.4465 4.2441     0 1.00 
OBS: 57331.164 g S1   -3.675    3.704   99.000 30.6860 2.5200 7.6100 4.0500     0 1.09 
OBS: 57331.166 r S1    1.619    5.570   99.000 30.7310 2.3200 12.2200 3.8500     0 1.05 
OBS: 57331.168 i S1    8.933    6.482   99.000 30.9870 2.2300 23.4500 3.9400     0 0.95 
OBS: 57331.171 z S1    2.363    9.489   99.000 30.7081 2.1915 22.5526 4.2255     0 0.97 
