SURVEY:              DES 
SNID: 1287626 
IAUC: UNKNOWN
FILTERS:             griz 
FAKE:                0 
RA:    35.931824
DECL:    -5.961218
TYPE:                 1    #  OVERRIDE 
PEAKMJD:              56678.187500    #  OVERRIDE 
PSF_UNIT:            SIGMA-PIXELS 
REDSHIFT_HELIO: 0.305 +- 0.005 
REDSHIFT_CMB: 0.3039597 +- 0.005 
VPEC: -19.385471 +- 250.0
PIXSIZE:             0.270 # arcsec 
MWEBV:       0.02640 
MWEBV_ERR:   0.00070 

HOSTGAL_OBJID:       16391 
HOSTGAL_PHOTOZ:      0.6285 +- 0.0823 
HOSTGAL_SPECZ:       -9.9900 +- -9.0000 
HOSTGAL_SNSEP:       1.26 
HOSTGAL_LOGMASS:      8.203 +- 0.226    #  OVERRIDE 
HOSTGAL_MAG:         25.20 24.47 24.05 24.22 
HOSTGAL_SB_FLUXCAL:  0.95 3.10 2.14 1.51 


# Appended from HEADER-override file. 
PRIVATE(DES_mjd_latest_ml):      56697.073000 
PRIVATE(DES_mjd_trigger):        56675.116000 

# ---------------------- 
NOBS: 91
NVAR: 12
VARLIST:  MJD BAND FIELD FLUXCAL FLUXCALERR SIM_MAGOBS ZPFLUX PSF SKYSIG GAIN PHOTFLAG PHOTPROB
OBS: 56915.294 r X2    2.053    8.353   99.000 30.7630 2.5100 17.6700 3.7800     0 1.06 
OBS: 56915.296 i X2   -5.083    7.803   99.000 30.9940 2.1600 24.0700 3.9100     0 0.92 
OBS: 56915.299 z X2    5.782    8.534   99.000 30.6875 2.2401 20.6291 3.9300     0 0.99 
OBS: 56923.302 g X2   -1.643    5.452   99.000 30.7450 3.7800 7.7100 3.6000     0 0.83 
OBS: 56923.304 r X2    3.116    7.908   99.000 30.7430 3.4300 12.5600 3.7500     0 0.92 
OBS: 56923.306 i X2   10.567    9.272   99.000 31.0040 3.2400 19.5800 3.9100     0 1.00 
OBS: 56923.309 z X2    3.370   10.776   99.000 30.6572 3.0506 18.9397 3.9500     0 0.96 
OBS: 56924.180 g X2   -1.369    3.437   99.000 30.7110 2.3800 12.0700 3.5700     0 1.13 
OBS: 56924.182 r X2   10.055    5.687   99.000 30.7660 2.5900 11.0500 3.7100     0 1.02 
OBS: 56924.184 i X2    3.023    5.429   99.000 31.0020 2.0700 18.3200 3.9000     0 0.97 
OBS: 56924.187 z X2    0.377    6.622   99.000 30.6766 1.9766 17.6131 3.9100     0 0.99 
OBS: 56931.161 g X2   12.656    6.826   99.000 30.6970 2.9100 12.3500 3.7000     0 1.04 
OBS: 56931.163 r X2   -4.793    8.374   99.000 30.7480 2.9200 14.8300 3.7700     0 1.00 
OBS: 56931.165 i X2    1.844    8.088   99.000 31.0040 2.2800 25.4300 3.9100     0 1.01 
OBS: 56931.168 z X2   -0.783    9.190   99.000 30.6616 2.1108 24.5966 3.9000     0 1.03 
OBS: 56934.371 i X2  -43.980   15.728   99.000 31.0200 4.4300 24.5400 3.9100     0 0.97 
OBS: 56934.372 z X2  -61.551   33.890   99.000 30.6240 4.4700 34.8200 3.9100 65536 1.01 
OBS: 56936.361 g X2  -14.474    9.626   99.000 30.6910 2.6400 17.1600 3.7300     0 0.97 
OBS: 56936.363 r X2   -0.448    9.321   99.000 30.7440 2.3400 19.7000 3.8000     0 0.98 
OBS: 56936.365 i X2    1.747    9.301   99.000 31.0040 2.2400 27.8600 3.9900     0 1.09 
OBS: 56936.368 z X2    9.250    9.238   99.000 30.7168 2.1308 24.1152 3.9047     0 1.07 
OBS: 56943.245 g X2   -5.015    9.184   99.000 30.7570 2.2800 19.0100 3.7400     0 1.03 
OBS: 56943.247 r X2   13.614    5.891   99.000 30.7930 1.8700 17.8000 3.8200     0 1.14 
OBS: 56943.249 i X2    5.934    5.814   99.000 31.0240 1.9000 21.2100 3.9600     0 1.02 
OBS: 56943.252 z X2  -13.346    6.108   99.000 30.7240 1.9701 17.1541 3.9051     0 1.00 
OBS: 56949.112 g X2    6.972    9.029   99.000 30.1090 2.9100 8.5600 3.6200     0 0.91 
OBS: 56949.115 r X2   -3.195   15.271   99.000 29.8490 2.5700 14.1200 3.8000     0 1.01 
OBS: 56949.120 z X2  -15.311   17.336   99.000 29.9334 2.1171 21.7183 3.9622     0 1.01 
OBS: 56956.203 g X2    2.136    3.643   99.000 30.5700 2.0900 15.6900 3.6200     0 1.09 
OBS: 56956.206 r X2    2.726    5.267   99.000 30.6340 1.8600 19.1700 3.7600     0 1.04 
OBS: 56956.208 i X2    3.570    6.388   99.000 30.8290 1.7900 22.9000 3.9700     0 0.92 
OBS: 56956.211 z X2    7.707    7.894   99.000 30.5612 1.7390 22.1613 3.9400     0 0.96 
OBS: 56960.226 g X2    7.312    4.726   99.000 30.7300 3.1100 8.4200 3.6500     0 0.99 
OBS: 56960.228 r X2    1.843    7.654   99.000 30.7600 3.1600 12.6400 3.7300     0 1.03 
OBS: 56960.233 z X2   -1.790   11.622   99.000 30.6640 2.9270 21.3488 3.9300     0 1.04 
OBS: 56973.073 g X2    0.573    3.196   99.000 30.7100 1.9900 8.3500 3.5900     0 0.98 
OBS: 56973.075 r X2    5.867    4.784   99.000 30.7620 2.0000 11.9400 3.7400     0 1.02 
OBS: 56973.077 i X2    0.869    5.351   99.000 31.0000 1.8300 21.4700 3.9400     0 0.98 
OBS: 56973.078 z X2   -6.237   11.191   99.000 30.6790 1.9400 30.6200 3.9100 65536 1.00 
OBS: 56980.066 g X2   -0.687    2.952   99.000 30.6990 1.7800 8.3900 3.6100     0 1.06 
OBS: 56980.068 r X2    8.547    4.427   99.000 30.7520 1.7600 12.9900 3.7500     0 0.94 
OBS: 56980.070 i X2   -4.764    7.449   99.000 30.9760 1.9000 26.5300 3.9300     0 1.10 
OBS: 56980.072 z X2    2.020    8.486   99.000 30.6395 1.7241 26.0921 3.9345     0 1.04 
