VARNAMES: CID REDSHIFT_CMB_ERR
SN: 04D2fp 0.001000
SN: 04D2fs 0.001000
SN: 04D2gb 0.010000
SN: 04D2gc 0.001000
SN: 04D2gp 0.001000
SN: 04D2iu 0.010000
SN: 04D2ja 0.001000
SN: 04D2kr 0.000500
SN: 04D2mc 0.001000
SN: 04D2mh 0.010000
SN: 04D2mj 0.001000
SN: 04D3co 0.010000
SN: 04D3cy 0.001000
SN: 04D3dd 0.001000
SN: 04D3df 0.010000
SN: 04D3do 0.010000
SN: 04D3ez 0.000500
SN: 04D3fk 0.000700
SN: 04D3fq 0.001000
SN: 04D3gt 0.001000
SN: 04D3gx 0.010000
SN: 04D3hn 0.001000
SN: 04D3kr 0.001000
SN: 04D3ks 0.010000
SN: 04D3lp 0.001000
SN: 04D3lu 0.001000
SN: 04D3mk 0.001000
SN: 04D3ml 0.010000
SN: 04D3nc 0.001000
SN: 04D3nh 0.001000
SN: 04D3nr 0.010000
SN: 04D3ny 0.010000
SN: 04D3oe 0.001000
SN: 04D4an 0.001000
SN: 04D4bk 0.010000
SN: 04D4bq 0.010000
SN: 04D4dm 0.001000
SN: 04D4dw 0.001000
SN: 04D4fx 0.001000
SN: 04D4gg 0.001000
SN: 04D4hf 0.010000
SN: 04D4hu 0.001000
SN: 04D4ib 0.001000
SN: 04D4ic 0.001000
SN: 04D4id 0.001000
SN: 04D4ih 0.001000
SN: 04D4ii 0.001000
SN: 04D4im 0.001000
SN: 04D4in 0.000500
SN: 04D4jr 0.010000
SN: 04D4ju 0.001000
SN: 04D4jw 0.001000
SN: 04D4jy 0.010000
SN: 050003 0.001000
SN: 050005 0.001000
SN: 050044 0.001000
SN: 050088 0.001000
SN: 050201 0.001000
SN: 050203 0.001000
SN: 050221 0.001000
SN: 050251 0.001000
SN: 050291 0.001000
SN: 050293 0.001000
SN: 050296 0.001000
SN: 050301 0.001000
SN: 050303 0.001000
SN: 050577 0.001000
SN: 050580 0.001000
SN: 050596 0.001000
SN: 050601 0.001000
SN: 050607 0.001000
SN: 05D1az 0.001000
SN: 05D1cb 0.001000
SN: 05D1cc 0.001000
SN: 05D1ck 0.001000
SN: 05D1cl 0.010000
SN: 05D1dn 0.001000
SN: 05D1dx 0.010000
SN: 05D1ee 0.001000
SN: 05D1em 0.001000
SN: 05D1eo 0.001000
SN: 05D1er 0.010000
SN: 05D1hk 0.001000
SN: 05D1hm 0.001000
SN: 05D1if 0.001000
SN: 05D1ix 0.010000
SN: 05D1iz 0.010000
SN: 05D1ke 0.010000
SN: 05D1kl 0.001000
SN: 05D2ab 0.001000
SN: 05D2ac 0.001000
SN: 05D2ah 0.000120
SN: 05D2ay 0.010000
SN: 05D2bt 0.010000
SN: 05D2bv 0.001000
SN: 05D2bw 0.010000
SN: 05D2by 0.001000
SN: 05D2cb 0.001000
SN: 05D2ci 0.001000
SN: 05D2ck 0.001000
SN: 05D2ct 0.001000
SN: 05D2dt 0.001000
SN: 05D2dw 0.001000
SN: 05D2dy 0.010000
SN: 05D2eb 0.001000
SN: 05D2ec 0.001000
SN: 05D2fq 0.001000
SN: 05D2hc 0.010000
SN: 05D2he 0.001000
SN: 05D2ie 0.001000
SN: 05D2le 0.001000
SN: 05D2mp 0.000400
SN: 05D2my 0.001000
SN: 05D2nn 0.010000
SN: 05D2nt 0.001000
SN: 05D2ob 0.001000
SN: 05D3ax 0.001000
SN: 05D3cf 0.001000
SN: 05D3ci 0.001000
SN: 05D3cq 0.001000
SN: 05D3cx 0.001000
SN: 05D3dd 0.010000
SN: 05D3dh 0.010000
SN: 05D3gp 0.010000
SN: 05D3gv 0.001000
SN: 05D3ha 0.001000
SN: 05D3hh 0.001000
SN: 05D3hs 0.001000
SN: 05D3ht 0.001000
SN: 05D3jb 0.001000
SN: 05D3jh 0.001000
SN: 05D3jk 0.001000
SN: 05D3jq 0.001000
SN: 05D3jr 0.010000
SN: 05D3km 0.010000
SN: 05D3kp 0.010000
SN: 05D3kt 0.001000
SN: 05D3kx 0.001000
SN: 05D3la 0.001000
SN: 05D3lb 0.001000
SN: 05D3lc 0.001000
SN: 05D3lr 0.010000
SN: 05D3mh 0.010000
SN: 05D3mn 0.001000
SN: 05D3mq 0.001000
SN: 05D3mx 0.010000
SN: 05D3ne 0.000035
SN: 05D4af 0.001000
SN: 05D4ag 0.010000
SN: 05D4av 0.001000
SN: 05D4be 0.001000
SN: 05D4bf 0.001000
SN: 05D4bi 0.001000
SN: 05D4bj 0.001000
SN: 05D4bm 0.001000
SN: 05D4cn 0.001000
SN: 05D4cq 0.001000
SN: 05D4cs 0.010000
SN: 05D4cw 0.001000
SN: 05D4dt 0.001000
SN: 05D4dw 0.001000
SN: 05D4dy 0.010000
SN: 05D4ef 0.001000
SN: 05D4ej 0.001000
SN: 05D4ek 0.001000
SN: 05D4ev 0.001000
SN: 05D4ff 0.001000
SN: 05D4fg 0.001000
SN: 05D4fo 0.001000
SN: 05D4gw 0.001000
SN: 05D4hn 0.001000
SN: 06D2bk 0.001000
SN: 06D2ca 0.001000
SN: 06D2cc 0.001000
SN: 06D2cd 0.001000
SN: 06D2ce 0.010000
SN: 06D2ck 0.001000
SN: 06D2fb 0.000200
SN: 06D2ga 0.010000
SN: 06D2gb 0.001000
SN: 06D3bz 0.001000
SN: 06D3cc 0.001000
SN: 06D3df 0.001000
SN: 06D3do 0.001000
SN: 06D3dt 0.000010
SN: 06D3ed 0.001000
SN: 06D3el 0.001000
SN: 06D3em 0.010000
SN: 06D3en 0.010000
SN: 06D3et 0.001000
SN: 06D3fp 0.001000
SN: 06D3gh 0.001000
SN: 06D3gn 0.000002
SN: 06D3gx 0.010000
SN: 06D4ba 0.010000
SN: 06D4bo 0.001000
SN: 06D4bw 0.001000
SN: 06D4ce 0.010000
SN: 06D4cl 0.010000
SN: 06D4co 0.001000
SN: 06D4cq 0.001000
SN: 06D4dh 0.001000
SN: 070242 0.001000
SN: 070955 0.001000
SN: 080064 0.000297
SN: 080308 0.001000
SN: 080646 0.001000
SN: 080723 0.001000
SN: 080735 0.001000
SN: 090034 0.001000
SN: 090037 0.001000
SN: 090201 0.001000
SN: 090275 0.001000
SN: 091869 0.001000
SN: 100020 0.001000
SN: 100090 0.001000
SN: 100101 0.001000
SN: 100163 0.001000
SN: 100206 0.001000
SN: 100213 0.001000
SN: 100358 0.001000
SN: 100405 0.001000
SN: 10096 0.000013
SN: 1032 0.000034
SN: 10434 0.000020
SN: 10449 0.000018
SN: 10550 0.000016
SN: 10805 0.000008
SN: 110024 0.001000
SN: 110030 0.001000
SN: 110031 0.001000
SN: 110033 0.001000
SN: 110034 0.001000
SN: 110036 0.001000
SN: 110425 0.001000
SN: 110426 0.001000
SN: 110430 0.001000
SN: 110431 0.001000
SN: 110460 0.001000
SN: 110478 0.001000
SN: 110484 0.001000
SN: 110536 0.001000
SN: 110542 0.001000
SN: 110567 0.001000
SN: 11067 0.000022
SN: 110716 0.001000
SN: 110719 0.001000
SN: 110721 0.001000
SN: 110734 0.001000
SN: 1112 0.000027
SN: 1119 0.000012
SN: 11206 0.000129
SN: 11300 0.000038
SN: 11452 0.005000
SN: 11557 0.005000
SN: 11650 0.005000
SN: 1166 0.000100
SN: 11864 0.005000
SN: 120044 0.001000
SN: 120085 0.001000
SN: 120086 0.001000
SN: 120094 0.001000
SN: 120143 0.001000
SN: 120225 0.001000
SN: 120243 0.001000
SN: 120336 0.001000
SN: 120369 0.001000
SN: 120400 0.001000
SN: 120444 0.001000
SN: 120585 0.001000
SN: 120586 0.001000
SN: 12136 0.000051
SN: 1241 0.000015
SN: 1248677 0.000500
SN: 1248907 0.000500
SN: 1249851 0.000500
SN: 1250017 0.000500
SN: 1253 0.000039
SN: 1253039 0.005000
SN: 1253101 0.000500
SN: 1253920 0.000500
SN: 1255502 0.000500
SN: 1256823 0.000500
SN: 1257366 0.000500
SN: 1257695 0.000500
SN: 1258906 0.000500
SN: 1258940 0.000500
