VARNAMES: CID HOSTGAL_sSFR
SN: 17280 -9.722030
SN: 17366 -12.189300
SN: 17497 -9.109760
SN: 17500 -12.567800
SN: 17568 -8.832810
SN: 17605 -9.056690
SN: 17629 -9.242680
SN: 17784 -8.830120
SN: 18241 -9.722030
SN: 18415 -9.682380
SN: 18602 -9.730400
SN: 18612 -9.056690
SN: 18650 -8.892060
SN: 18697 -9.056690
SN: 18809 -12.560600
SN: 18835 -16.433200
SN: 18855 -9.181960
SN: 19543 -9.242680
SN: 19775 -9.322250
SN: 1972E -8.830120
SN: 19899 -8.832810
SN: 1989B -11.129500
SN: 1990O -9.299570
SN: 1990T -9.483650
SN: 1990Y -9.400290
SN: 1991M -11.123400
SN: 1991S -9.400290
SN: 1991T -11.129500
SN: 1991U -9.682380
SN: 1992A -110.514000
SN: 1992G -9.242680
SN: 1992J -10.170200
SN: 1992K -9.584370
SN: 1992P -9.299570
SN: 1993B -9.109760
SN: 1993H -9.483650
SN: 1993L -8.832810
SN: 1993O -9.861080
SN: 19940 -10.094300
SN: 1994D -9.321290
SN: 1994M -13.056500
SN: 1994Q -8.936450
SN: 1994S -9.278240
SN: 1994T -9.299570
SN: 19953 -9.400290
SN: 1995D -12.194400
SN: 1995E -10.039600
SN: 19968 -16.445000
SN: 1996C -9.722030
SN: 1996X -9.730400
SN: 1997E -12.189300
SN: 1997Y -9.584370
SN: 1998D -12.193700
SN: 1998V -11.129500
SN: 1999X -9.730400
SN: 2000B -11.129500
SN: 2000E -11.129500
SN: 2001C -9.242680
SN: 2001G -11.334400
SN: 2001N -9.321290
SN: 2001V -10.513900
SN: 2002G -9.730400
SN: 2003D -11.129500
SN: 2003K -8.830120
SN: 2003U -9.138140
SN: 2003W -10.231700
SN: 2004L -8.832810
SN: 2005A -10.039600
SN: 2005M -8.830120
SN: 20064 -10.463200
SN: 2006B -9.181960
SN: 2006H -9.730400
SN: 2006S -9.458400
SN: 2006X -9.400290
SN: 2007A -8.832810
SN: 2007F -8.898480
SN: 2007N -9.322250
SN: 2007O -10.630500
SN: 2007R -9.584370
SN: 2007S -9.109760
SN: 20084 -9.056690
SN: 2008A -10.755800
SN: 2008C -11.129500
SN: 2008L -10.921000
SN: 2008O -9.584370
SN: 2008Q -11.129500
SN: 2008R -11.129500
SN: 2008Y -9.429010
SN: 2009D -9.321290
SN: 2009F -11.129500
SN: 2009I -9.056690
SN: 2009P -9.056690
SN: 2010A -9.181960
SN: 2010H -12.194400
SN: 2010Y -12.187600
SN: 2011B -11.129500
SN: 2011M -11.129500
SN: 2012E -10.474900
SN: 2012V -8.862580
SN: 2012Z -11.129500
SN: 2013E -10.334400
SN: 2013Q -8.832810
SN: 2014I -12.194400
SN: 2014J -11.129500
SN: 2014R -10.318700
SN: 2015I -11.129500
SN: 2015N -8.826680
SN: 2016W -8.895620
SN: 20470 -9.299570
SN: 20625 -9.722030
SN: 21034 -9.850040
SN: 21062 -9.853160
SN: 21510 -8.936450
SN: 21669 -10.513900
SN: 21814 -10.463200
SN: 22075 -12.567800
SN: PS16n -9.496880
SN: 1990af -11.129500
SN: 1991ag -16.433200
SN: 1991bg -11.129500
SN: 1992ae -9.722030
SN: 1992ag -9.682380
