VARNAMES: CID VPEC_ERR
SN: 06D4ba 250.000000
SN: 06D4bo 250.000000
SN: 06D4bw 250.000000
SN: 06D4ce 250.000000
SN: 06D4cl 250.000000
SN: 06D4co 250.000000
SN: 06D4cq 250.000000
SN: 06D4dh 250.000000
SN: 070242 250.000000
SN: 070955 250.000000
SN: 080064 250.000000
SN: 080308 250.000000
SN: 080646 250.000000
SN: 080723 250.000000
SN: 080735 250.000000
SN: 090034 250.000000
SN: 090037 250.000000
SN: 090201 250.000000
SN: 090275 250.000000
SN: 091869 250.000000
SN: 100020 250.000000
SN: 100090 250.000000
SN: 100101 250.000000
SN: 100163 250.000000
SN: 100206 250.000000
SN: 100213 250.000000
SN: 100358 250.000000
SN: 100405 250.000000
SN: 10096 250.000000
SN: 1032 250.000000
SN: 10434 250.000000
SN: 10449 250.000000
SN: 10550 250.000000
SN: 10805 250.000000
SN: 110024 250.000000
SN: 110030 250.000000
SN: 110031 250.000000
SN: 110033 250.000000
SN: 110034 250.000000
SN: 110036 250.000000
SN: 110425 250.000000
SN: 110426 250.000000
SN: 110430 250.000000
SN: 110431 250.000000
SN: 110460 250.000000
SN: 110478 250.000000
SN: 110484 250.000000
SN: 110536 250.000000
SN: 110542 250.000000
SN: 110567 250.000000
SN: 11067 250.000000
SN: 110716 250.000000
SN: 110719 250.000000
SN: 110721 250.000000
SN: 110734 250.000000
SN: 1112 250.000000
SN: 1119 250.000000
SN: 11206 250.000000
SN: 11300 250.000000
SN: 11452 250.000000
SN: 11557 250.000000
SN: 11650 250.000000
SN: 1166 250.000000
SN: 11864 250.000000
SN: 120044 250.000000
SN: 120085 250.000000
SN: 120086 250.000000
SN: 120094 250.000000
SN: 120143 250.000000
SN: 120225 250.000000
SN: 120243 250.000000
SN: 120336 250.000000
SN: 120369 250.000000
SN: 120400 250.000000
SN: 120444 250.000000
SN: 120585 250.000000
SN: 120586 250.000000
SN: 12136 250.000000
SN: 1241 250.000000
SN: 1248677 250.000000
SN: 1248907 250.000000
SN: 1249851 250.000000
SN: 1250017 250.000000
SN: 1253 250.000000
SN: 1253039 250.000000
SN: 1253101 250.000000
SN: 1253920 250.000000
SN: 1255502 250.000000
SN: 1256823 250.000000
SN: 1257366 250.000000
SN: 1257695 250.000000
SN: 1258906 250.000000
SN: 1258940 250.000000
SN: 1259412 250.000000
SN: 1261059 250.000000
SN: 1261086 250.000000
SN: 1261579 250.000000
SN: 1262128 250.000000
SN: 1262214 250.000000
SN: 1262715 250.000000
SN: 1263369 250.000000
SN: 1263715 250.000000
SN: 1266657 250.000000
SN: 1273127 250.000000
SN: 1275946 250.000000
SN: 1276528 250.000000
SN: 1277168 250.000000
SN: 12779 250.000000
SN: 1277971 250.000000
SN: 12780 250.000000
SN: 12781 250.000000
SN: 1279500 250.000000
SN: 1280201 250.000000
SN: 1280217 250.000000
SN: 1280240 250.000000
SN: 1281668 250.000000
SN: 1281886 250.000000
SN: 1282736 250.000000
SN: 1282757 250.000000
SN: 1283373 250.000000
SN: 1283724 250.000000
SN: 1283878 250.000000
SN: 1283923 250.000000
SN: 1283936 250.000000
SN: 12841 250.000000
SN: 12843 250.000000
SN: 1284587 250.000000
SN: 12851 250.000000
SN: 1285160 250.000000
SN: 12853 250.000000
SN: 1285317 250.000000
SN: 12855 250.000000
SN: 12856 250.000000
SN: 12860 250.000000
SN: 1286398 250.000000
SN: 12869 250.000000
SN: 1287626 250.000000
SN: 12881 250.000000
SN: 12883 250.000000
SN: 1289288 250.000000
SN: 1289555 250.000000
SN: 1289600 250.000000
SN: 1289656 250.000000
SN: 1289664 250.000000
SN: 12897 250.000000
SN: 12898 250.000000
SN: 1290127 250.000000
SN: 1290568 250.000000
SN: 12907 250.000000
SN: 1290779 250.000000
SN: 1290816 250.000000
SN: 1291080 250.000000
SN: 1291090 250.000000
SN: 1291639 250.000000
SN: 1291794 250.000000
SN: 1291957 250.000000
SN: 1292145 250.000000
SN: 1292195 250.000000
SN: 1292315 250.000000
SN: 1292332 250.000000
SN: 1292336 250.000000
SN: 1292560 250.000000
SN: 12927 250.000000
SN: 12928 250.000000
SN: 12930 250.000000
SN: 1293319 250.000000
SN: 1293758 250.000000
SN: 1294014 250.000000
SN: 1294137 250.000000
SN: 1294743 250.000000
SN: 12950 250.000000
SN: 1295027 250.000000
SN: 1295256 250.000000
SN: 1295305 250.000000
SN: 1295921 250.000000
SN: 1296273 250.000000
SN: 1296321 250.000000
SN: 1296657 250.000000
SN: 1297026 250.000000
SN: 12971 250.000000
SN: 12972 250.000000
SN: 1297465 250.000000
SN: 1297501 250.000000
SN: 12977 250.000000
SN: 1298281 250.000000
SN: 12983 250.000000
SN: 1298893 250.000000
SN: 1299643 250.000000
SN: 1299775 250.000000
SN: 1299785 250.000000
SN: 13005 250.000000
SN: 1300516 250.000000
SN: 1300912 250.000000
SN: 1301933 250.000000
SN: 1302058 250.000000
SN: 1302117 250.000000
SN: 1302141 250.000000
SN: 1302187 250.000000
SN: 13025 250.000000
SN: 1302523 250.000000
SN: 1302648 250.000000
SN: 1303004 250.000000
SN: 130308 250.000000
SN: 1303279 250.000000
SN: 1303496 250.000000
SN: 13038 250.000000
SN: 1303883 250.000000
SN: 1303952 250.000000
SN: 1304127 250.000000
SN: 13044 250.000000
SN: 1304442 250.000000
SN: 13045 250.000000
SN: 130451 250.000000
SN: 1304678 250.000000
SN: 130514 250.000000
SN: 1305504 250.000000
SN: 1305626 250.000000
SN: 1306029 250.000000
SN: 1306073 250.000000
SN: 1306141 250.000000
SN: 1306299 250.000000
SN: 1306360 250.000000
SN: 1306390 250.000000
SN: 1306537 250.000000
SN: 1306626 250.000000
SN: 1306785 250.000000
SN: 1306980 250.000000
SN: 1306991 250.000000
SN: 13070 250.000000
SN: 1307073 250.000000
SN: 13072 250.000000
SN: 1307277 250.000000
SN: 130755 250.000000
SN: 1307830 250.000000
SN: 1308314 250.000000
SN: 1308326 250.000000
SN: 1308568 250.000000
SN: 1308582 250.000000
SN: 130862 250.000000
SN: 1308751 250.000000
SN: 1308884 250.000000
SN: 1308957 250.000000
SN: 1309288 250.000000
SN: 130943 250.000000
SN: 130945 250.000000
SN: 1309492 250.000000
SN: 1309749 250.000000
SN: 13099 250.000000
SN: 1310338 250.000000
SN: 1310395 250.000000
SN: 1312274 250.000000
SN: 13135 250.000000
SN: 1313594 250.000000
SN: 13136 250.000000
SN: 1314897 250.000000
SN: 1315192 250.000000
SN: 13152 250.000000
SN: 1315259 250.000000
SN: 1315296 250.000000
SN: 1316 250.000000
SN: 1316385 250.000000
SN: 1316431 250.000000
SN: 1316437 250.000000
SN: 1316465 250.000000
SN: 1317164 250.000000
SN: 1317277 250.000000
SN: 1317286 250.000000
SN: 1317454 250.000000
SN: 1317612 250.000000
SN: 1317666 250.000000
SN: 1318142 250.000000
SN: 1318737 250.000000
SN: 1319366 250.000000
SN: 1319821 250.000000
SN: 1320166 250.000000
SN: 1322229 250.000000
SN: 1322979 250.000000
SN: 1324542 250.000000
SN: 1325358 250.000000
SN: 13254 250.000000
SN: 1327978 250.000000
SN: 1328066 250.000000
SN: 1328105 250.000000
SN: 1329166 250.000000
SN: 1329196 250.000000
SN: 1329312 250.000000
SN: 1329615 250.000000
SN: 1330031 250.000000
SN: 1330044 250.000000
SN: 1330426 250.000000
SN: 13305 250.000000
SN: 1330642 250.000000
SN: 1330903 250.000000
SN: 1331123 250.000000
SN: 1331993 250.000000
SN: 1332059 250.000000
SN: 1332413 250.000000
SN: 13327 250.000000
SN: 1333246 250.000000
SN: 1333438 250.000000
SN: 1333483 250.000000
SN: 1334084 250.000000
SN: 1334087 250.000000
SN: 1334302 250.000000
SN: 1334423 250.000000
SN: 1334448 250.000000
SN: 1334470 250.000000
SN: 1334597 250.000000
SN: 1334620 250.000000
SN: 1334623 250.000000
SN: 1334644 250.000000
SN: 1334645 250.000000
SN: 1334707 250.000000
SN: 1334858 250.000000
SN: 1334879 250.000000
SN: 13354 250.000000
SN: 1335472 250.000000
SN: 1335564 250.000000
SN: 1335694 250.000000
SN: 1335717 250.000000
SN: 1335718 250.000000
SN: 1335868 250.000000
SN: 1336002 250.000000
SN: 1336008 250.000000
SN: 1336009 250.000000
SN: 1336272 250.000000
SN: 1336453 250.000000
SN: 1336480 250.000000
SN: 1336662 250.000000
SN: 1336687 250.000000
SN: 1336975 250.000000
SN: 13370 250.000000
SN: 1337117 250.000000
SN: 1337221 250.000000
SN: 1337228 250.000000
SN: 1337272 250.000000
SN: 1337325 250.000000
SN: 1337649 250.000000
SN: 1337655 250.000000
SN: 1337687 250.000000
SN: 1337703 250.000000
SN: 1337838 250.000000
SN: 1338128 250.000000
SN: 1338170 250.000000
SN: 1338233 250.000000
SN: 1338266 250.000000
SN: 1338278 250.000000
SN: 1338387 250.000000
SN: 1338430 250.000000
SN: 1338471 250.000000
SN: 1338649 250.000000
SN: 1338675 250.000000
SN: 1338843 250.000000
SN: 1339002 250.000000
SN: 1339149 250.000000
SN: 1339392 250.000000
SN: 1339450 250.000000
SN: 1340454 250.000000
SN: 13411 250.000000
SN: 1341370 250.000000
SN: 1341894 250.000000
SN: 1342255 250.000000
SN: 13425 250.000000
SN: 1343208 250.000000
SN: 1343337 250.000000
SN: 1343401 250.000000
SN: 1343533 250.000000
SN: 1343759 250.000000
SN: 1343871 250.000000
SN: 1344274 250.000000
SN: 1344692 250.000000
SN: 1345553 250.000000
SN: 1345582 250.000000
SN: 1345594 250.000000
SN: 1345798 250.000000
SN: 1345899 250.000000
SN: 1346137 250.000000
SN: 1346387 250.000000
SN: 1346956 250.000000
SN: 1346966 250.000000
SN: 1347120 250.000000
SN: 13506 250.000000
SN: 13511 250.000000
