VARNAMES: CID VPEC
SN: 04D1dc -28.194000
SN: 04D1de -9.769700
SN: 04D1ff -8.821900
SN: 04D1hd -17.812900
SN: 04D1hx -12.348900
SN: 04D1hy -8.958300
SN: 04D1iv -8.202600
SN: 04D1jd -9.434500
SN: 04D1jg -12.229300
SN: 04D1kj -12.145000
SN: 04D1ks -9.324400
SN: 04D1oh -12.116000
SN: 04D1ow -8.627400
SN: 04D1pc -9.769900
SN: 04D1pd -8.266400
SN: 04D1pg -13.474800
SN: 04D1pp -10.014000
SN: 04D1pu -11.069500
SN: 04D1qd -9.916200
SN: 04D1rh -15.367100
SN: 04D1rx -8.110700
SN: 04D1sa -12.145400
SN: 04D1si -10.441600
SN: 04D1sk -11.018500
SN: 04D2al 8.331800
SN: 04D2an 10.468600
SN: 04D2cf 16.104900
SN: 04D2fp 14.192800
SN: 04D2fs 16.528300
SN: 04D2gb 13.697200
SN: 04D2gc 12.141300
SN: 04D2gp 8.958600
SN: 04D2iu 9.379700
SN: 04D2ja 9.168800
SN: 04D2kr 9.228500
SN: 04D2mc 16.883300
SN: 04D2mh 10.787800
SN: 04D2mj 11.855500
SN: 04D3co -13.297900
SN: 04D3cy -12.783300
SN: 04D3dd -9.137700
SN: 04D3df -16.188800
SN: 04D3do -13.127800
SN: 04D3ez -26.972200
SN: 04D3fk -20.458100
SN: 04D3fq -11.327000
SN: 04D3gt -17.071100
SN: 04D3gx -9.744700
SN: 04D3hn -14.270500
SN: 04D3kr -21.414700
SN: 04D3ks -11.227600
SN: 04D3lp -9.296500
SN: 04D3lu -10.771700
SN: 04D3mk -10.910300
SN: 04D3ml -9.689800
SN: 04D3nc -10.487400
SN: 04D3nh -21.309900
SN: 04D3nr -9.536500
SN: 04D3ny -10.552400
SN: 04D3oe -11.273600
SN: 04D4an -3.306600
SN: 04D4bk -2.345100
SN: 04D4bq -3.480500
SN: 04D4dm -2.842700
SN: 04D4dw -2.217000
SN: 04D4fx -3.076700
SN: 04D4gg -4.747200
SN: 04D4hf -2.435300
SN: 04D4hu -2.892800
SN: 04D4ib -2.818300
SN: 04D4ic -2.850900
SN: 04D4id -2.994800
SN: 04D4ih -2.450800
SN: 04D4ii -2.557500
SN: 04D4im -2.930500
SN: 04D4in -4.019700
SN: 04D4jr -4.235700
SN: 04D4ju -4.362000
SN: 04D4jw -2.407300
SN: 04D4jy -2.466100
SN: 050003 -22.686400
SN: 050005 -15.490500
SN: 050044 -27.219700
SN: 050088 -20.419200
SN: 050201 -18.401600
SN: 050203 -17.928800
SN: 050221 -15.496400
SN: 050251 -20.137300
SN: 050291 -29.160300
SN: 050293 -26.724200
SN: 050296 -27.299600
SN: 050301 -27.911400
SN: 050303 -28.761800
SN: 050577 -11.917800
SN: 050580 -16.513700
SN: 050596 -13.349400
SN: 050601 -15.261100
SN: 050607 -17.722000
SN: 05D1az -9.089300
SN: 05D1cb -11.488700
SN: 05D1cc -12.558000
SN: 05D1ck -11.480200
SN: 05D1cl -9.333200
SN: 05D1dn -12.149800
SN: 05D1dx -12.310300
SN: 05D1ee -12.790700
SN: 05D1em -8.795700
SN: 05D1eo -10.013000
SN: 05D1er -9.165200
SN: 05D1hk -23.205900
SN: 05D1hm -11.840800
SN: 05D1if -9.807300
SN: 05D1ix -13.835300
SN: 05D1iz -8.859000
SN: 05D1ke -10.394300
SN: 05D1kl -12.604800
SN: 05D2ab 17.794800
SN: 05D2ac 12.491400
SN: 05D2ah 28.553200
SN: 05D2ay 7.757900
SN: 05D2bt 9.541500
SN: 05D2bv 12.918500
SN: 05D2bw 7.528500
SN: 05D2by 7.774900
SN: 05D2cb 13.848000
SN: 05D2ci 10.220700
SN: 05D2ck 9.313700
SN: 05D2ct 9.190700
SN: 05D2dt 11.236600
SN: 05D2dw 14.262200
SN: 05D2dy 12.152500
SN: 05D2eb 11.550100
SN: 05D2ec 10.165200
SN: 05D2fq 8.898600
SN: 05D2hc 16.702900
SN: 05D2he 10.518600
SN: 05D2ie 16.245200
SN: 05D2le 9.547600
SN: 05D2mp 16.245000
SN: 05D2my 7.210400
SN: 05D2nn 7.785300
SN: 05D2nt 8.850600
SN: 05D2ob 7.765900
SN: 05D3ax -12.813900
SN: 05D3cf -17.806700
SN: 05D3ci -15.202700
SN: 05D3cq -10.190800
SN: 05D3cx -10.853200
SN: 05D3dd -16.186800
SN: 05D3dh -10.867200
SN: 05D3gp -13.976900
SN: 05D3gv -12.050200
SN: 05D3ha -10.882300
SN: 05D3hh -11.319700
SN: 05D3hs -12.626800
SN: 05D3ht -10.103500
SN: 05D3jb -11.566600
SN: 05D3jh -11.715000
SN: 05D3jk -11.480700
SN: 05D3jq -14.138700
SN: 05D3jr -20.154400
SN: 05D3km -9.680300
SN: 05D3kp -10.230700
SN: 05D3kt -12.776400
SN: 05D3kx -31.633700
SN: 05D3la -9.588800
SN: 05D3lb -12.957100
SN: 05D3lc -16.657200
SN: 05D3lr -13.820900
SN: 05D3mh -12.406600
SN: 05D3mn -11.118100
SN: 05D3mq -27.815400
SN: 05D3mx -16.235700
SN: 05D3ne -38.132200
SN: 05D4af -3.734800
SN: 05D4ag -2.878700
SN: 05D4av -3.626600
SN: 05D4be -3.979700
SN: 05D4bf -3.143900
SN: 05D4bi -2.633300
SN: 05D4bj -2.740100
SN: 05D4bm -5.038800
SN: 05D4cn -2.893400
SN: 05D4cq -2.667400
SN: 05D4cs -2.684500
SN: 05D4cw -4.831600
SN: 05D4dt -4.544400
SN: 05D4dw -2.451200
SN: 05D4dy -2.438500
SN: 05D4ef -2.992200
SN: 05D4ej -3.157900
SN: 05D4ek -3.678700
SN: 05D4ev -2.826800
SN: 05D4ff -4.418200
SN: 05D4fg -2.665300
SN: 05D4fo -5.253100
SN: 05D4gw -2.709800
SN: 05D4hn -2.544400
SN: 06D2bk 12.260800
SN: 06D2ca 11.608800
SN: 06D2cc 11.520300
SN: 06D2cd 7.552100
SN: 06D2ce 8.231500
SN: 06D2ck 11.597200
SN: 06D2fb 38.982600
SN: 06D2ga 8.291000
SN: 06D2gb 13.761400
SN: 06D3bz -11.779600
SN: 06D3cc -12.310700
SN: 06D3df -17.542100
SN: 06D3do -11.725500
SN: 06D3dt -24.841600
SN: 06D3ed -18.656100
SN: 06D3el -14.892300
SN: 06D3em -12.291900
SN: 06D3en -8.817000
SN: 06D3et -13.844400
SN: 06D3fp -26.438500
SN: 06D3gh -11.638100
SN: 06D3gn -27.354800
SN: 06D3gx -11.346200
SN: 06D4ba -2.720000
SN: 06D4bo -3.734700
SN: 06D4bw -2.767000
SN: 06D4ce -2.804600
SN: 06D4cl -2.409200
SN: 06D4co -4.201200
SN: 06D4cq -4.609700
SN: 06D4dh -5.883900
SN: 070242 -105.654400
SN: 070955 -26.775100
SN: 080064 72.542000
SN: 080308 -28.224200
SN: 080646 -21.779000
SN: 080723 -15.991500
SN: 080735 -12.128400
SN: 090034 -182.651700
SN: 090037 -43.797500
SN: 090201 -16.358400
SN: 090275 10.262400
SN: 091869 -25.175600
SN: 100020 -28.233000
SN: 100090 -37.218700
SN: 100101 -17.732300
SN: 100163 -19.437800
SN: 100206 6.832000
