VARNAMES: CID REDSHIFT_CMB
SN: 04D2mc 0.349567
SN: 04D2mh 0.591844
SN: 04D2mj 0.514754
SN: 04D3co 0.620626
SN: 04D3cy 0.643640
SN: 04D3dd 1.002787
SN: 04D3df 0.470581
SN: 04D3do 0.610638
SN: 04D3ez 0.263483
SN: 04D3fk 0.358331
SN: 04D3fq 0.742690
SN: 04D3gt 0.451551
SN: 04D3gx 0.910745
SN: 04D3hn 0.552599
SN: 04D3kr 0.337529
SN: 04D3ks 0.750675
SN: 04D3lp 0.983769
SN: 04D3lu 0.822690
SN: 04D3mk 0.813689
SN: 04D3ml 0.950756
SN: 04D3nc 0.817726
SN: 04D3nh 0.340514
SN: 04D3nr 0.960743
SN: 04D3ny 0.810713
SN: 04D3oe 0.756681
SN: 04D4an 0.611248
SN: 04D4bk 0.877965
SN: 04D4bq 0.548320
SN: 04D4dm 0.809026
SN: 04D4dw 1.028794
SN: 04D4fx 0.627234
SN: 04D4gg 0.422448
SN: 04D4hf 0.933894
SN: 04D4hu 0.701153
SN: 04D4ib 0.697159
SN: 04D4ic 0.685174
SN: 04D4id 0.767070
SN: 04D4ih 0.931895
SN: 04D4ii 0.863972
SN: 04D4im 0.749095
SN: 04D4in 0.514349
SN: 04D4jr 0.468402
SN: 04D4ju 0.470394
SN: 04D4jw 0.958866
SN: 04D4jy 0.927903
SN: 050003 0.426894
SN: 050005 0.528506
SN: 050044 0.270493
SN: 050088 0.242465
SN: 050201 0.550112
SN: 050203 0.576092
SN: 050221 0.530595
SN: 050251 0.387719
SN: 050291 0.325348
SN: 050293 0.360051
SN: 050296 0.350865
SN: 050301 0.347043
SN: 050303 0.328291
SN: 050577 0.461010
SN: 050580 0.450598
SN: 050596 0.379972
SN: 050601 0.350938
SN: 050607 0.439261
SN: 05D1az 0.840533
SN: 05D1cb 0.630708
SN: 05D1cc 0.562760
SN: 05D1ck 0.615707
SN: 05D1cl 0.828539
SN: 05D1dn 0.564750
SN: 05D1dx 0.578754
SN: 05D1ee 0.557752
SN: 05D1em 0.864508
SN: 05D1eo 0.735618
SN: 05D1er 0.858518
SN: 05D1hk 0.261991
SN: 05D1hm 0.585753
SN: 05D1if 0.761590
SN: 05D1ix 0.488808
SN: 05D1iz 0.858527
SN: 05D1ke 0.688666
SN: 05D1kl 0.558752
SN: 05D2ab 0.324539
SN: 05D2ac 0.480711
SN: 05D2ah 0.186268
SN: 05D2ay 0.922231
SN: 05D2bt 0.681951
SN: 05D2bv 0.475715
SN: 05D2bw 0.922220
SN: 05D2by 0.893192
SN: 05D2cb 0.428653
SN: 05D2ci 0.631890
SN: 05D2ck 0.699969
SN: 05D2ct 0.736016
SN: 05D2dt 0.575831
SN: 05D2dw 0.418641
SN: 05D2dy 0.511754
SN: 05D2eb 0.535779
SN: 05D2ec 0.641902
SN: 05D2fq 0.735005
SN: 05D2hc 0.351567
SN: 05D2he 0.609868
SN: 05D2ie 0.349564
SN: 05D2le 0.701977
SN: 05D2mp 0.355268
SN: 05D2my 0.983291
SN: 05D2nn 0.872162
SN: 05D2nt 0.759039
SN: 05D2ob 0.926231
SN: 05D3ax 0.643635
SN: 05D3cf 0.419563
SN: 05D3ci 0.515582
SN: 05D3cq 0.890722
SN: 05D3cx 0.805689
SN: 05D3dd 0.480563
SN: 05D3dh 0.800690
SN: 05D3gp 0.580597
SN: 05D3gv 0.715645
SN: 05D3ha 0.805688
SN: 05D3hh 0.766677
SN: 05D3hs 0.664631
SN: 05D3ht 0.901729
SN: 05D3jb 0.745659
