SURVEY: ASASSN
SNTYPE: 1
SNID: 2018gv 
IAUC: 2018gv
RA:   121.394210 deg
DECL:   -11.437860 deg 
RA_HOST:   121.408500
DEC_HOST:   -11.427030
REDSHIFT_HELIO: 0.005374 +- 0.00015 
REDSHIFT_CMB: 0.0062362 +- 0.00015 
VPEC: -70.4303 +- 250.0
FILTERS: abcdghij
SEARCH_PEAKMJD: 58147
MWEBV: .0498206
NOBS: 211
NVAR: 7
VARLIST: MJD FLT FIELD MAG MAGERR FLUXCAL FLUXCALERR
OBS: 58135.87870000 a NULL 15.5110 0.0610 62459.71525 3511.02538
OBS: 58138.09590000 a NULL 14.4120 0.0520 171869.96954 8234.64806
OBS: 58140.20290000 a NULL 13.6990 0.0630 331436.24501 19242.42966
OBS: 58141.13720000 a NULL 13.4990 0.0640 398474.00972 23502.12483
OBS: 58142.17330000 a NULL 13.3330 0.0650 464301.40728 27813.03807
OBS: 58144.17390000 a NULL 13.1400 0.0380 554625.71296 19415.47133
OBS: 58146.23040000 a NULL 13.0170 0.0530 621155.02083 30333.60415
OBS: 58147.66320000 a NULL 12.9140 0.0570 682967.44081 35871.53931
OBS: 58149.78830000 a NULL 12.8490 0.0650 725103.49762 43435.86056
OBS: 58151.70150000 a NULL 12.9380 0.0480 668036.20468 29543.25745
OBS: 58153.54630000 a NULL 12.9810 0.0530 642096.05257 31356.24253
OBS: 58158.83000000 a NULL 13.2360 0.0550 507691.62589 25729.07041
OBS: 58160.76990000 a NULL 13.3910 0.0530 440149.28429 21494.33508
OBS: 58164.76920000 a NULL 13.8210 0.0650 296210.19361 17743.87340
OBS: 58167.51590000 a NULL 14.1120 0.0610 226568.74550 12736.02693
OBS: 58171.76090000 a NULL 14.5990 0.0660 144677.16832 8800.08873
OBS: 58173.76380000 a NULL 14.7760 0.0520 122913.61731 5889.04730
OBS: 58176.77800000 a NULL 15.0990 0.0640 91285.12193 5384.02575
OBS: 58179.75380000 a NULL 15.3300 0.0630 73790.42301 4284.10304
OBS: 58181.19470000 a NULL 15.4470 0.0690 66252.15359 4213.24843
OBS: 58184.21850000 a NULL 15.6010 0.0580 57491.01816 3072.62961
OBS: 58189.41700000 a NULL 15.8380 0.0590 46216.81361 2512.70447
OBS: 58195.45700000 a NULL 15.9820 0.0560 40476.22487 2088.60468
OBS: 58201.99680000 a NULL 16.1400 0.0920 34994.51670 2968.81470
OBS: 58205.01770000 a NULL 16.1920 0.0820 33357.99967 2521.75170
OBS: 58210.05590000 a NULL 16.2430 0.0680 31827.31482 1994.65817
OBS: 58216.04900000 a NULL 16.3120 0.0510 29867.57755 1403.47781
OBS: 58226.00230000 a NULL 16.4830 0.0610 25515.26011 1434.28009
OBS: 58243.42750000 a NULL 16.7290 0.0550 20342.29743 1030.91794
OBS: 58134.07450000 b NULL 16.4380 0.0390 26595.00033 955.50657
OBS: 58135.23260000 b NULL 15.7060 0.0450 52191.52658 2163.77713
OBS: 58135.34190000 b NULL 15.6260 0.0480 56182.36281 2484.61086
OBS: 58135.88040000 b NULL 15.3450 0.0540 72777.98045 3621.16633
OBS: 58137.11270000 b NULL 14.7640 0.0490 124279.64384 5610.72750
OBS: 58138.09760000 b NULL 14.4230 0.0580 170137.48159 9093.06323
OBS: 58140.20410000 b NULL 13.7750 0.0460 309029.54325 13096.74679
OBS: 58141.13840000 b NULL 13.5820 0.0510 369147.55817 17346.24802
OBS: 58142.17450000 b NULL 13.4110 0.0520 432115.65447 20703.56064
OBS: 58146.23140000 b NULL 13.0180 0.0500 620583.17930 28589.01412
OBS: 58147.66420000 b NULL 12.9240 0.0490 676705.95767 30550.56011
OBS: 58149.78930000 b NULL 12.8990 0.0620 692468.46432 39564.28979
OBS: 58151.70250000 b NULL 12.8860 0.0490 700809.53165 31638.73981
OBS: 58153.54730000 b NULL 12.9350 0.0460 669884.60942 28389.87178
OBS: 58158.83110000 b NULL 13.1130 0.0440 568591.02470 23048.74191
OBS: 58160.77070000 b NULL 13.1910 0.0450 529175.83042 21938.78269
OBS: 58164.77020000 b NULL 13.4800 0.0460 405508.53545 17185.54982
OBS: 58167.51690000 b NULL 13.6140 0.0450 358426.40804 14859.78501
OBS: 58171.76210000 b NULL 13.8200 0.0450 296483.13895 12291.71625
OBS: 58173.76500000 b NULL 13.9030 0.0510 274662.89924 12906.41281
OBS: 58176.77920000 b NULL 14.0800 0.0520 233345.80623 11180.08339
OBS: 58179.75500000 b NULL 14.2390 0.0520 201557.98128 9657.06251
OBS: 58181.19610000 b NULL 14.3210 0.0610 186895.99717 10505.91708
OBS: 58189.41830000 b NULL 14.7630 0.0460 124394.16236 5271.85469
