SURVEY: ASASSN
SNTYPE: 1
SNID: 2019np 
IAUC: 2019np
RA:   157.341580 deg
DECL:    29.510640 deg 
RA_HOST:   157.333080
DEC_HOST:    29.491830
REDSHIFT_HELIO: 0.004523 +- 5e-06 
REDSHIFT_CMB: 0.005502 +- 5e-06 
VPEC: -209.5698 +- 250.0
FILTERS: abcdghij
MWEBV: .0172713 +- 0.001  MW E(B-V)  
SEARCH_PEAKMJD: 58510.0
NOBS: 248
NVAR: 7

VARLIST: MJD FLT FIELD MAG MAGERR FLUXCAL FLUXCALERR
OBS: 58495.31420000 g NULL 16.1750 0.0550 33884.41561 1717.21271
OBS: 58500.31460000 g NULL 14.3850 0.0270 176197.60464 4382.11939
OBS: 58510.31370000 g NULL 13.4900 0.0650 401790.81085 24068.46704
OBS: 58513.45680000 g NULL 13.5430 0.0690 382648.48660 24334.19969
OBS: 58514.25080000 g NULL 13.5880 0.0550 367113.19969 18604.76101
OBS: 58516.31390000 g NULL 13.7230 0.0400 324190.28782 11946.31358
OBS: 58522.31430000 g NULL 14.2220 0.0650 204738.72763 12264.45998
OBS: 58525.31380000 g NULL 14.5690 0.0580 148730.48700 7948.95816
OBS: 58526.31440000 g NULL 14.6590 0.0250 136898.91307 3152.49252
OBS: 58527.31440000 g NULL 14.7860 0.0170 121786.73849 1906.96335
OBS: 58530.35010000 g NULL 15.1240 0.0720 89207.21887 5920.06451
OBS: 58536.27250000 g NULL 15.6940 0.0380 52771.56818 1847.34470
OBS: 58538.27270000 g NULL 15.8750 0.0380 44668.35922 1563.68020
OBS: 58540.27190000 g NULL 15.9790 0.0170 40588.21947 635.53921
OBS: 58543.27310000 g NULL 16.0940 0.0510 36509.00525 1715.55858
OBS: 58544.27280000 g NULL 16.1900 0.0350 33419.50400 1077.50412
OBS: 58547.27270000 g NULL 16.3450 0.0290 28973.43588 773.97212
OBS: 58548.27320000 g NULL 16.4100 0.0350 27289.77783 879.87087
OBS: 58549.27240000 g NULL 16.3610 0.0590 28549.59817 1552.17760
OBS: 58554.27200000 g NULL 16.5850 0.0290 23227.36796 620.47647
OBS: 58556.35560000 g NULL 16.6220 0.0580 22449.15508 1199.80374
OBS: 58565.27190000 g NULL 16.7800 0.0490 19408.85878 876.23214
OBS: 58566.27280000 g NULL 16.7990 0.0490 19072.16521 861.03177
OBS: 58568.27260000 g NULL 16.8440 0.0150 18297.84734 252.80214
OBS: 58572.27250000 g NULL 16.9010 0.0560 17362.00992 895.89321
OBS: 58576.27420000 g NULL 16.9510 0.0420 16580.59075 641.55409
OBS: 58578.27230000 g NULL 17.0070 0.0450 15747.07877 652.84867
OBS: 58580.27250000 g NULL 17.0450 0.0280 15205.47530 392.17676
OBS: 58583.27250000 g NULL 17.0470 0.0370 15177.49156 517.32261
OBS: 58590.27290000 g NULL 17.2120 0.0830 13037.67047 997.64652
OBS: 58592.27300000 g NULL 17.2600 0.0850 12473.83514 977.54812
OBS: 58594.27340000 g NULL 17.2380 0.0580 12729.16746 680.31526
OBS: 58598.27280000 g NULL 17.2890 0.0850 12145.06938 951.78344
OBS: 58601.27270000 g NULL 17.3540 0.0420 11439.31450 442.62229
OBS: 58606.18880000 g NULL 17.3980 0.0360 10984.99845 364.29881
OBS: 58607.20980000 g NULL 17.4230 0.0320 10734.94936 316.43793
OBS: 58609.21000000 g NULL 17.4460 0.0640 10509.93427 619.87929
OBS: 58620.18110000 g NULL 17.4840 0.0650 10148.45663 607.92280
OBS: 58628.14680000 g NULL 17.7620 0.0530 7855.97332 383.64012
OBS: 58638.22010000 g NULL 17.8520 0.0640 7231.02728 426.48831
OBS: 58650.16230000 g NULL 18.1100 0.0730 5701.64272 383.64161
OBS: 58659.14860000 g NULL 18.3140 0.0850 4724.98028 370.28673
OBS: 58493.31130000 c NULL 17.3910 0.0430 11056.05015 437.98341
OBS: 58495.30630000 c NULL 16.3300 0.0370 29376.49652 1001.29365
OBS: 58497.32600000 c NULL 15.5010 0.0450 63037.64788 2613.43995
OBS: 58501.39280000 c NULL 14.3700 0.0530 178648.75749 8724.16790
OBS: 58503.21650000 c NULL 14.1030 0.0540 228454.64886 11367.06842
OBS: 58508.25190000 c NULL 13.8960 0.0410 276439.43712 10441.49654
OBS: 58510.44120000 c NULL 14.0240 0.0480 245697.08276 10865.71674
OBS: 58512.31230000 c NULL 14.1160 0.0520 225735.57110 10815.46118
OBS: 58517.52590000 c NULL 14.3970 0.0620 174260.91898 9956.42380
OBS: 58519.22290000 c NULL 14.5490 0.0410 151495.59320 5722.19626
OBS: 58521.27730000 c NULL 14.7280 0.0360 128469.48998 4260.47239
OBS: 58523.24060000 c NULL 14.8360 0.0540 116305.43233 5786.93327
OBS: 58527.46070000 c NULL 14.8530 0.0390 114498.55347 4113.71003
OBS: 58531.16310000 c NULL 14.7790 0.0610 122574.46320 6890.23396
OBS: 58546.09640000 c NULL 15.0140 0.0300 98718.83011 2728.04918
OBS: 58549.10440000 c NULL 15.2350 0.0490 80537.84412 3635.96067
OBS: 58559.23890000 c NULL 15.6960 0.0700 52674.44883 3398.40043
OBS: 58568.11890000 c NULL 16.0790 0.0420 37016.89610 1432.29765
OBS: 58579.09090000 c NULL 16.4400 0.0640 26546.05562 1565.69487
OBS: 58593.24560000 c NULL 16.9870 0.0790 16039.83883 1168.11585
OBS: 58601.14290000 c NULL 17.1730 0.0430 13514.50054 535.37448
OBS: 58495.34190000 h NULL 16.3100 0.0490 29922.64637 1350.88748
OBS: 58510.33550000 h NULL 14.0230 0.0270 245923.48238 6116.23559
OBS: 58513.47870000 h NULL 14.1360 0.0340 221615.43260 6941.05644
OBS: 58514.27250000 h NULL 14.1870 0.0430 211446.25617 8376.40491
OBS: 58516.33560000 h NULL 14.2900 0.0330 192309.17289 5845.96869
OBS: 58522.33590000 h NULL 14.8250 0.0300 117489.75549 3246.77502
OBS: 58525.33540000 h NULL 14.8870 0.0420 110968.57268 4293.71564
OBS: 58526.33610000 h NULL 14.8880 0.0250 110866.41390 2553.01910
OBS: 58527.32560000 h NULL 14.8680 0.0390 112927.57442 4057.26782
OBS: 58530.36150000 h NULL 14.7720 0.0650 123367.28298 7390.06793
OBS: 58536.28380000 h NULL 14.6570 0.0670 137151.32259 8468.88202
OBS: 58538.27890000 h NULL 14.6570 0.0320 137151.32259 4042.85842
OBS: 58540.27830000 h NULL 14.6660 0.0620 136019.13229 7771.47357
OBS: 58543.28040000 h NULL 14.8050 0.0630 119674.05313 6948.00157
OBS: 58544.27930000 h NULL 14.8900 0.0420 110662.37840 4281.86804
OBS: 58547.27920000 h NULL 15.1470 0.0470 87337.34791 3781.89239
OBS: 58548.27970000 h NULL 15.2250 0.0610 81283.05162 4569.13478
OBS: 58549.27890000 h NULL 15.1620 0.1000 86139.03458 7944.92001
OBS: 58553.28060000 h NULL 15.4100 0.0550 68548.82265 3473.95426
OBS: 58554.28120000 h NULL 15.4400 0.0270 66680.67692 1658.38059
OBS: 58556.37270000 h NULL 15.5450 0.0170 60534.08748 947.85596
