SURVEY: ASASSN
SNTYPE: 1
SNID: 2018fop 
IAUC: 2018fop
RA:    18.825460
DECL:    -6.859040 
RA_HOST:    18.824830
DEC_HOST:    -6.858540
FILTERS: abcdghij
SEARCH_PEAKMJD: 58362
REDSHIFT_HELIO: 0.02121 +- 9e-05 
REDSHIFT_CMB: 0.0201648 +- 9e-05 
VPEC: -395.6825 +- 250.0
NVAR: 7
NOBS: 56
VARLIST: MJD FLT FIELD MAG MAGERR FLUXCAL FLUXCALERR
OBS: 58362.71310000 a NULL 15.5930 0.0390 57916.19211 2080.81599
OBS: 58362.71310000 a NULL 15.5930 0.0390 57916.19211 2080.81599
OBS: 58372.20300000 a NULL 15.8170 0.0390 47119.42694 1692.90924
OBS: 58377.07440000 a NULL 16.0950 0.0390 36475.39469 1310.48989
OBS: 58378.56420000 a NULL 16.2830 0.0390 30676.08977 1102.13216
OBS: 58389.92200000 a NULL 17.5370 0.0410 9664.95864 365.05874
OBS: 58392.37460000 a NULL 17.7930 0.0430 7634.84105 302.45284
OBS: 58395.80960000 a NULL 18.0530 0.0460 6008.96950 254.66158
OBS: 58404.49690000 a NULL 18.4510 0.0480 4164.85609 184.18675
OBS: 58417.26170000 a NULL 18.8450 0.0650 2897.34359 173.55952
OBS: 58423.57780000 a NULL 18.8260 0.0570 2948.49231 154.86384
OBS: 58428.25590000 a NULL 18.9630 0.0610 2598.96242 146.09453
OBS: 58362.71590000 b NULL 15.6027 0.0240 57401.07158 1268.94351
OBS: 58362.71590000 b NULL 15.6037 0.0240 57348.22758 1267.77531
OBS: 58372.20610000 b NULL 15.6517 0.0240 54868.10992 1212.94830
OBS: 58374.46910000 b NULL 15.8217 0.0240 46915.89439 1037.15171
OBS: 58377.07770000 b NULL 15.8847 0.0240 44271.06809 978.68355
OBS: 58378.56730000 b NULL 15.9627 0.0240 41202.16149 910.84041
OBS: 58389.92570000 b NULL 16.6297 0.0410 22290.50974 841.94311
OBS: 58392.37800000 b NULL 16.7087 0.0250 20726.21505 477.28091
OBS: 58395.81340000 b NULL 16.9787 0.0340 16162.92657 506.22732
OBS: 58417.26510000 b NULL 17.7877 0.0340 7672.20149 240.29547
OBS: 58423.58130000 b NULL 17.9317 0.0320 6719.23762 198.06536
OBS: 58428.26180000 b NULL 18.0547 0.0330 5999.56828 182.37969
OBS: 58362.71170000 c NULL 16.1452 0.0610 34827.31548 1957.73529
OBS: 58362.71170000 c NULL 16.1462 0.0610 34795.25311 1955.93298
OBS: 58372.20160000 c NULL 16.4262 0.0610 26885.61653 1511.31144
OBS: 58374.46460000 c NULL 16.5692 0.0610 23567.85188 1324.81113
OBS: 58377.07300000 c NULL 16.8032 0.0620 18998.53004 1085.48387
OBS: 58378.56280000 c NULL 16.9162 0.0620 17120.64018 978.19035
OBS: 58389.81820000 c NULL 16.8912 0.0620 17519.43112 1000.97533
OBS: 58389.88670000 c NULL 17.0092 0.0650 15715.20317 941.38751
OBS: 58389.92020000 c NULL 17.0712 0.0680 14842.94233 930.22601
OBS: 58392.37310000 c NULL 16.8712 0.0620 17845.14167 1019.58485
OBS: 58395.79890000 c NULL 16.8262 0.0620 18600.30219 1062.73106
OBS: 58395.80790000 c NULL 16.8622 0.0620 17993.68030 1028.07163
OBS: 58398.23660000 c NULL 16.7452 0.0650 20041.02824 1200.51732
OBS: 58404.49550000 c NULL 17.1652 0.0630 13611.93918 790.27803
OBS: 58407.50160000 c NULL 17.4302 0.1030 10663.99665 1013.17421
OBS: 58411.96780000 c NULL 17.5692 0.1260 9382.53083 1091.29109
OBS: 58417.26040000 c NULL 17.9462 0.0720 6630.09880 439.99368
OBS: 58423.57640000 c NULL 18.1442 0.0760 5524.84375 387.04715
OBS: 58428.25310000 c NULL 18.4062 0.0840 4340.30251 336.13066
OBS: 58362.71450000 d NULL 15.6995 0.0270 52504.91987 1305.82267
OBS: 58362.71450000 d NULL 15.6995 0.0270 52504.91987 1305.82267
OBS: 58372.20480000 d NULL 15.6915 0.0270 52893.21920 1315.47987
OBS: 58374.46770000 d NULL 15.8045 0.0270 47665.04419 1185.45263
OBS: 58377.07610000 d NULL 15.9925 0.0270 40086.67176 996.97486
OBS: 58378.56600000 d NULL 16.1155 0.0270 35793.15656 890.19306
OBS: 58389.92400000 d NULL 16.4865 0.0290 25433.14106 679.39965
OBS: 58392.37650000 d NULL 16.4775 0.0280 25644.84037 661.42689
OBS: 58395.81170000 d NULL 16.5825 0.0280 23280.91258 600.45691
OBS: 58404.49900000 d NULL 16.9905 0.0290 15988.21575 427.09582
OBS: 58417.26380000 d NULL 17.5605 0.0310 9458.01503 270.08246
OBS: 58423.57990000 d NULL 17.7395 0.0320 8020.47335 236.42235
OBS: 58428.25900000 d NULL 17.8995 0.0340 6921.49644 216.78318
END:
