SURVEY:  FOUNDATION
SNID: 2019np 
IAUC: 2019np
SNTYPE: 1
RA:   157.341580 deg
DECL:    29.510640 deg 
RA_HOST:   157.333080
DEC_HOST:    29.491830
MWEBV:    0.017 +- 0.000  MW E(B-V)
REDSHIFT_HELIO: 0.004523 +- 5e-06 
REDSHIFT_CMB: 0.005502 +- 5e-06 
VPEC: -209.5698 +- 250.0
HOST_LOGMASS: -9.0000 +- -99.0000
SEARCH_PEAKMJD: 58510.0
FILTERS:    griz
NOBS: 137
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR MAG MAGERR FWHM FLAG
OBS: 58522.43 g NULL  279631.126 1075.676 13.884 0.004 -9 0
OBS: 58522.51 g NULL  284914.073 601.571 13.863 0.002 -9 0
OBS: 58523.44 g NULL  269548.325 968.197 13.923 0.004 -9 0
OBS: 58523.44 g NULL  256514.561 541.691 13.977 0.002 -9 0
OBS: 58523.44 g NULL  261134.824 728.279 13.958 0.003 -9 0
OBS: 55606.62 r NULL  13.833 71.380 24.648 5.603 -9 0
OBS: 55613.31 r NULL  -72.539 59.059 27.5 -0.884 -9 0
OBS: 55945.59 r NULL  28.077 51.853 23.879 2.005 -9 0
OBS: 56331.39 r NULL  41.772 57.827 23.448 1.503 -9 0
OBS: 56370.31 r NULL  79.902 59.230 22.744 0.805 -9 0
OBS: 56681.61 r NULL  -59.176 62.070 27.5 -1.139 -9 0
OBS: 56682.46 r NULL  -47.369 55.337 27.5 -1.268 -9 0
OBS: 58494.56 r NULL  28498.341 186.381 16.363 0.007 -9 0
OBS: 58494.57 r NULL  28160.341 129.422 16.376 0.005 -9 0
OBS: 58495.53 r NULL  42311.668 204.392 15.934 0.005 -9 0
OBS: 58496.63 r NULL  65504.311 253.250 15.459 0.004 -9 0
OBS: 58496.67 r NULL  63112.144 187.711 15.500 0.003 -9 0
OBS: 58497.58 r NULL  85254.343 294.848 15.173 0.004 -9 0
OBS: 58499.64 r NULL  156827.827 406.070 14.511 0.003 -9 0
OBS: 58500.65 r NULL  193367.701 444.904 14.284 0.002 -9 0
OBS: 58503.51 r NULL  298059.677 524.890 13.814 0.002 -9 0
OBS: 58503.52 r NULL  299030.319 642.269 13.811 0.002 -9 0
OBS: 58508.61 r NULL  399856.035 1064.282 13.495 0.003 -9 0
OBS: 58508.61 r NULL  408007.730 607.774 13.473 0.002 -9 0
OBS: 58508.61 r NULL  403427.557 754.553 13.486 0.002 -9 0
OBS: 58510.51 r NULL  409320.019 1118.525 13.470 0.003 -9 0
OBS: 58510.51 r NULL  406855.700 798.630 13.476 0.002 -9 0
OBS: 58510.51 r NULL  405178.924 609.635 13.481 0.002 -9 0
OBS: 58518.56 r NULL  317780.591 653.454 13.745 0.002 -9 0
OBS: 58518.56 r NULL  318709.359 954.097 13.742 0.003 -9 0
OBS: 58518.56 r NULL  339054.196 546.797 13.674 0.002 -9 0
OBS: 58519.54 r NULL  302016.755 992.678 13.800 0.004 -9 0
OBS: 58519.54 r NULL  309263.310 638.375 13.774 0.002 -9 0
OBS: 58519.54 r NULL  310746.552 541.306 13.769 0.002 -9 0
OBS: 58522.43 r NULL  244053.771 900.109 14.031 0.004 -9 0
OBS: 58522.51 r NULL  253813.319 509.173 13.989 0.002 -9 0
OBS: 58522.50 r NULL  241300.300 610.794 14.044 0.003 -9 0
OBS: 58523.44 r NULL  235200.975 861.593 14.071 0.004 -9 0
OBS: 58523.44 r NULL  236793.223 593.372 14.064 0.003 -9 0
OBS: 58523.44 r NULL  230707.441 481.150 14.092 0.002 -9 0
OBS: 55251.32 i NULL  -61.599 150.194 27.5 -2.647 -9 0
OBS: 55606.42 i NULL  -121.666 126.412 27.5 -1.128 -9 0
OBS: 55613.34 i NULL  -87.026 107.684 27.5 -1.343 -9 0
OBS: 55941.62 i NULL  118.646 109.047 22.314 0.998 -9 0
OBS: 55961.59 i NULL  14.128 118.522 24.625 9.109 -9 0
OBS: 56352.51 i NULL  79.192 125.997 22.753 1.727 -9 0
OBS: 58494.56 i NULL  21714.129 190.188 16.658 0.010 -9 0
OBS: 58494.57 i NULL  21310.211 147.851 16.679 0.008 -9 0
OBS: 58495.53 i NULL  32553.708 207.972 16.218 0.007 -9 0
OBS: 58496.63 i NULL  51164.600 246.448 15.728 0.005 -9 0
OBS: 58496.67 i NULL  52628.423 199.545 15.697 0.004 -9 0
OBS: 58497.58 i NULL  72002.311 285.714 15.357 0.004 -9 0
OBS: 58499.64 i NULL  126658.032 391.483 14.743 0.003 -9 0
OBS: 58500.65 i NULL  162565.771 432.123 14.472 0.003 -9 0
OBS: 58503.51 i NULL  224855.343 467.870 14.120 0.002 -9 0
OBS: 58503.52 i NULL  240779.118 582.630 14.046 0.003 -9 0
OBS: 58508.61 i NULL  279443.875 913.135 13.884 0.004 -9 0
OBS: 58508.61 i NULL  278828.749 658.379 13.887 0.003 -9 0
OBS: 58508.61 i NULL  276745.212 522.533 13.895 0.002 -9 0
OBS: 58510.51 i NULL  249591.846 924.133 14.007 0.004 -9 0
OBS: 58510.51 i NULL  255507.584 532.089 13.981 0.002 -9 0
OBS: 58510.51 i NULL  246319.475 652.846 14.021 0.003 -9 0
OBS: 58518.56 i NULL  176206.566 512.982 14.385 0.003 -9 0
OBS: 58518.56 i NULL  173292.831 706.829 14.403 0.004 -9 0
OBS: 58518.56 i NULL  180862.144 425.451 14.357 0.003 -9 0
OBS: 58519.54 i NULL  158673.512 748.753 14.499 0.005 -9 0
OBS: 58519.54 i NULL  157637.268 509.675 14.506 0.004 -9 0
OBS: 58519.54 i NULL  155890.004 421.121 14.518 0.003 -9 0
OBS: 58522.43 i NULL  124257.328 656.000 14.764 0.006 -9 0
OBS: 58522.50 i NULL  126711.652 490.889 14.743 0.004 -9 0
OBS: 58522.51 i NULL  127462.869 405.913 14.737 0.003 -9 0
OBS: 58523.44 i NULL  121707.870 666.312 14.787 0.006 -9 0
OBS: 58523.44 i NULL  121476.762 436.093 14.789 0.004 -9 0
OBS: 58523.44 i NULL  120890.684 347.896 14.794 0.003 -9 0
OBS: 55236.39 z NULL  54.710 106.525 23.155 2.114 -9 0
OBS: 55560.67 z NULL  165.207 161.194 21.955 1.059 -9 0
OBS: 55962.43 z NULL  123.612 119.298 22.270 1.048 -9 0
OBS: 56439.32 z NULL  -148.789 128.905 27.5 -0.941 -9 0
OBS: 56643.58 z NULL  -124.589 119.316 27.5 -1.040 -9 0
OBS: 58494.56 z NULL  26259.255 236.834 16.452 0.010 -9 0
OBS: 58494.57 z NULL  26181.038 171.182 16.455 0.007 -9 0
OBS: 58495.53 z NULL  38664.712 268.695 16.032 0.008 -9 0
OBS: 58496.63 z NULL  58582.425 311.896 15.581 0.006 -9 0
OBS: 58496.67 z NULL  59659.641 244.150 15.561 0.004 -9 0
OBS: 58497.58 z NULL  83689.325 378.577 15.193 0.005 -9 0
OBS: 58499.64 z NULL  128927.598 462.908 14.724 0.004 -9 0
OBS: 58500.65 z NULL  161727.172 513.438 14.478 0.003 -9 0
OBS: 58503.51 z NULL  220550.136 556.294 14.141 0.003 -9 0
OBS: 58503.52 z NULL  231520.916 710.250 14.089 0.003 -9 0
OBS: 58508.61 z NULL  276449.363 1073.173 13.896 0.004 -9 0
OBS: 58508.61 z NULL  271671.935 767.407 13.915 0.003 -9 0
OBS: 58508.61 z NULL  275325.611 629.526 13.900 0.002 -9 0
OBS: 58510.51 z NULL  266057.148 1231.560 13.938 0.005 -9 0
OBS: 58510.51 z NULL  267254.112 811.352 13.933 0.003 -9 0
OBS: 58510.51 z NULL  271283.921 682.716 13.916 0.003 -9 0
OBS: 58518.56 z NULL  195137.240 899.599 14.274 0.005 -9 0
OBS: 58518.56 z NULL  196685.249 652.125 14.266 0.004 -9 0
OBS: 58518.56 z NULL  197857.416 521.656 14.259 0.003 -9 0
OBS: 58519.54 z NULL  181932.695 1003.447 14.350 0.006 -9 0
OBS: 58519.54 z NULL  184734.075 638.786 14.334 0.004 -9 0
OBS: 58519.54 z NULL  179997.721 562.160 14.362 0.003 -9 0
OBS: 58522.43 z NULL  166643.467 957.776 14.446 0.006 -9 0
OBS: 58522.50 z NULL  170914.220 665.610 14.418 0.004 -9 0
OBS: 58522.51 z NULL  174365.611 568.738 14.396 0.004 -9 0
OBS: 58523.44 z NULL  170451.068 870.404 14.421 0.006 -9 0
OBS: 58523.44 z NULL  171954.927 611.089 14.411 0.004 -9 0
OBS: 58523.44 z NULL  169625.501 516.007 14.426 0.003 -9 0
END:
