SURVEY: KAIT
PHOTOMETRY_VERSION: LOSS
SNTYPE: 1
SNID: 2012ht 
IAUC: 2012ht
RA:   163.344790 deg
DECL:    16.776360 deg 
RA_HOST:   163.349920
DEC_HOST:    16.772440
FILTERS: ABCDEFGHIJKLMNOP
REDSHIFT_HELIO: 0.003516 +- 2.1e-05 
REDSHIFT_CMB: 0.004646 +- 2.1e-05 
VPEC: -0.2973 +- 250.0
MWEBV:   0.0254000 MW E(B-V)
SEARCH_PEAKMJD: 56323.4
NOBS: 122
NVAR:   7
VARLIST:  MJD  FIELD FLT   FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 56338.3 NULL G 82386.5 2041.56 15.2104 0.0247803
OBS: 56338.3 NULL F 69612.0 2408.59 15.3933 0.0346003
OBS: 56339.4 NULL E 30788.8 2079.16 16.2790 0.0675297
OBS: 56339.4 NULL H 91737.8 2408.11 15.0936 0.0262499
OBS: 56339.4 NULL G 80706.4 2104.76 15.2327 0.0260792
OBS: 56339.4 NULL F 67518.1 2193.00 15.4264 0.0324802
OBS: 56341.3 NULL E 30355.0 2126.92 16.2944 0.0700684
OBS: 56341.3 NULL H 83949.1 2249.85 15.1900 0.0268002
OBS: 56341.3 NULL G 74912.1 1866.84 15.3136 0.0249205
OBS: 56341.3 NULL F 63474.7 2065.49 15.4935 0.0325403
OBS: 56344.4 NULL E 28920.2 2914.59 16.3470 0.100780
OBS: 56344.4 NULL H 75922.1 2159.19 15.2991 0.0284395
OBS: 56344.4 NULL G 70215.3 1836.85 15.3839 0.0261602
OBS: 56344.4 NULL F 61672.0 2212.15 15.5248 0.0358696
OBS: 56353.3 NULL E 23582.5 2030.71 16.5685 0.0861111
OBS: 56353.3 NULL H 48864.3 1860.76 15.7775 0.0380802
OBS: 56353.3 NULL G 49301.0 1546.06 15.7679 0.0313597
OBS: 56353.3 NULL F 45174.8 1806.09 15.8628 0.0399799
OBS: 56355.3 NULL E 23075.6 1353.19 16.5921 0.0586414
OBS: 56355.3 NULL H 43115.4 1387.45 15.9134 0.0321798
OBS: 56355.3 NULL G 46940.1 1148.15 15.8211 0.0244598
OBS: 56355.3 NULL F 41240.9 1228.13 15.9617 0.0297794
OBS: 56361.3 NULL E 21002.2 1340.76 16.6943 0.0638390
OBS: 56361.3 NULL H 34427.7 1283.83 16.1577 0.0372906
OBS: 56361.3 NULL G 39640.6 1156.32 16.0047 0.0291700
OBS: 56361.3 NULL F 36836.3 1291.09 16.0843 0.0350494
OBS: 56363.3 NULL E 21125.4 1543.20 16.6880 0.0730495
OBS: 56363.3 NULL H 32920.9 1220.73 16.2063 0.0370808
OBS: 56363.3 NULL G 36635.3 1203.06 16.0903 0.0328388
OBS: 56363.3 NULL F 34321.0 1482.65 16.1611 0.0431995
OBS: 56365.3 NULL E 20903.0 1681.65 16.6995 0.0804501
OBS: 56365.3 NULL H 29584.8 1433.34 16.3223 0.0484486
OBS: 56365.3 NULL G 34291.6 1409.76 16.1620 0.0411110
OBS: 56365.3 NULL F 33918.8 1495.16 16.1739 0.0440807
OBS: 56368.3 NULL E 20997.6 2170.50 16.6946 0.103369
OBS: 56368.3 NULL H 25507.1 1050.37 16.4833 0.0411797
OBS: 56368.3 NULL G 32069.5 914.274 16.2348 0.0285091
OBS: 56368.3 NULL F 31238.0 1028.68 16.2633 0.0329304
OBS: 56373.3 NULL E 16493.2 1281.86 16.9567 0.0777206
OBS: 56373.3 NULL H 20776.5 1758.97 16.7061 0.0846615
OBS: 56373.3 NULL G 26767.7 1039.13 16.4310 0.0388203
OBS: 56373.3 NULL F 26405.8 1132.31 16.4458 0.0428810
OBS: 56380.3 NULL G 19725.1 996.738 16.7625 0.0505314
OBS: 56380.3 NULL F 20068.7 1087.71 16.7437 0.0541992
OBS: 56385.3 NULL E 15172.8 966.966 17.0473 0.0637302
OBS: 56385.3 NULL H 14088.9 1089.35 17.1278 0.0773201
OBS: 56385.3 NULL G 19151.9 783.300 16.7945 0.0408993
OBS: 56385.3 NULL F 20544.3 809.879 16.7183 0.0394211
OBS: 56387.3 NULL E 14053.4 990.756 17.1305 0.0704994
OBS: 56387.3 NULL H 13715.3 819.089 17.1570 0.0597210
OBS: 56387.3 NULL G 18541.5 688.062 16.8296 0.0371094
OBS: 56387.3 NULL F 19982.1 866.607 16.7484 0.0433693
OBS: 56389.2 NULL E 13003.0 1201.75 17.2149 0.0924206
OBS: 56389.2 NULL H 10599.8 811.730 17.4368 0.0765800
OBS: 56389.2 NULL G 16232.3 689.401 16.9741 0.0424709
OBS: 56389.2 NULL F 18141.8 760.117 16.8533 0.0418987
OBS: 56392.2 NULL E 12593.1 1048.50 17.2497 0.0832596
OBS: 56392.2 NULL H 11071.7 821.964 17.3895 0.0742397
OBS: 56392.2 NULL G 15270.6 628.373 17.0404 0.0411491
OBS: 56392.2 NULL F 17264.7 717.179 16.9071 0.0415401
OBS: 56399.2 NULL E 11407.0 813.894 17.3571 0.0713501
OBS: 56399.2 NULL H 7766.77 743.749 17.7744 0.0957603
OBS: 56399.2 NULL G 12432.1 561.176 17.2636 0.0451393
OBS: 56399.2 NULL F 13946.1 585.999 17.1389 0.0420189
OBS: 56401.2 NULL E 11626.4 931.862 17.3364 0.0801506
OBS: 56401.2 NULL H 8722.56 813.464 17.6484 0.0932598
OBS: 56401.2 NULL G 12508.6 623.820 17.2570 0.0498714
OBS: 56401.2 NULL F 13334.8 740.873 17.1875 0.0555592
OBS: 56407.2 NULL E 11048.0 1567.60 17.3918 0.141890
OBS: 56407.2 NULL H 7871.33 1140.25 17.7599 0.144861
OBS: 56407.2 NULL G 9848.90 798.055 17.5165 0.0810299
OBS: 56407.2 NULL F 12404.6 943.133 17.2660 0.0760307
OBS: 56409.2 NULL E 10776.6 905.230 17.4188 0.0839996
OBS: 56409.2 NULL H 7235.37 799.138 17.8513 0.110449
OBS: 56409.2 NULL G 9986.66 600.394 17.5014 0.0601196
OBS: 56409.2 NULL F 12236.9 620.052 17.2808 0.0506706
OBS: 56412.2 NULL E 9345.48 1015.10 17.5735 0.108620
OBS: 56416.2 NULL E 8957.06 1193.08 17.6196 0.133200
OBS: 56416.2 NULL H 5731.98 609.530 18.1042 0.106339
OBS: 56416.2 NULL G 8513.96 497.566 17.6747 0.0584412
OBS: 56416.2 NULL F 10550.8 625.151 17.4418 0.0592518
OBS: 56451.2 NULL E 5909.97 108750. 18.0710 18.4011
OBS: 56451.2 NULL H 2177.93 845.233 19.1549 0.388090
OBS: 56451.2 NULL G 3787.04 610.888 18.5543 0.161310
OBS: 56451.2 NULL F 5307.33 573.301 18.1878 0.108021
OBS: 56455.2 NULL H 2862.60 1204.95 18.8581 0.420929
OBS: 56455.2 NULL G 3438.49 599.018 18.6591 0.174210
OBS: 56455.2 NULL F 5787.77 702.298 18.0937 0.121342
END:
