SURVEY: KAIT
PHOTOMETRY_VERSION: LOSS
FILTERS: ABCDEFGHIJKLMNOP
SNID: 2003hv 
IAUC: 2003hv
RA:    46.038830 deg
DECL:   -26.085420 deg 
RA_HOST:    46.033250
DEC_HOST:   -26.069640
MWEBV:  0.013 MW E(B-V) 
REDSHIFT_HELIO: 0.0055 +- 0.00015 
REDSHIFT_CMB: 0.004984 +- 0.00015 
VPEC: -174.465 +- 250.0
SEARCH_PEAKMJD: 52891.0
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:   165
NVAR:   7
VARLIST: MJD FIELD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 52892.0 NULL A 979941.161 8121.059 12.522 0.009 
OBS: 52892.9 NULL A 901156.044 7468.144 12.613 0.009 
OBS: 52896.0 NULL A 799466.003 8097.722 12.743 0.011 
OBS: 52897.0 NULL A 707294.042 5861.553 12.876 0.009 
OBS: 52898.0 NULL A 647440.705 5365.531 12.972 0.009 
OBS: 52899.0 NULL A 587218.866 4866.455 13.078 0.009 
OBS: 52900.9 NULL A 443404.402 3674.622 13.383 0.009 
OBS: 52902.0 NULL A 404017.335 3348.210 13.484 0.009 
OBS: 52903.0 NULL A 352533.181 2921.546 13.632 0.009 
OBS: 52904.0 NULL A 314195.528 2603.830 13.757 0.009 
OBS: 52906.0 NULL A 237246.602 1966.132 14.062 0.009 
OBS: 52910.0 NULL A 149416.996 1238.262 14.564 0.009 
OBS: 52912.0 NULL A 124508.786 1261.139 14.762 0.011 
OBS: 52914.0 NULL A 103371.305 951.854 14.964 0.010 
OBS: 52916.0 NULL A 91201.084 755.810 15.100 0.009 
OBS: 52918.9 NULL A 76842.237 778.328 15.286 0.011 
OBS: 52920.9 NULL A 69566.475 832.748 15.394 0.013 
OBS: 52924.9 NULL A 58344.510 1074.485 15.585 0.020 
OBS: 52927.9 NULL A 55924.228 926.921 15.631 0.018 
OBS: 52929.9 NULL A 54250.032 449.586 15.664 0.009 
OBS: 52931.9 NULL A 53161.840 440.568 15.686 0.009 
OBS: 52933.9 NULL A 49888.449 459.378 15.755 0.010 
OBS: 52935.9 NULL A 48039.668 530.825 15.796 0.012 
OBS: 52938.9 NULL A 43933.925 404.548 15.893 0.010 
OBS: 52941.9 NULL A 42150.235 543.373 15.938 0.014 
OBS: 52944.9 NULL A 39518.459 400.279 16.008 0.011 
OBS: 52947.8 NULL A 36374.749 1875.678 16.098 0.056 
OBS: 52953.9 NULL A 35416.040 815.286 16.127 0.025 
OBS: 52958.8 NULL A 32809.529 483.382 16.210 0.016 
OBS: 52961.8 NULL A 30422.857 392.192 16.292 0.014 
OBS: 52964.8 NULL A 30005.440 469.698 16.307 0.017 
OBS: 52969.8 NULL A 26302.680 484.396 16.450 0.020 
OBS: 52975.8 NULL A 24032.558 708.142 16.548 0.032 
OBS: 52989.8 NULL A 18706.821 413.410 16.820 0.024 
OBS: 52994.7 NULL A 18080.066 316.318 16.857 0.019 
OBS: 53000.7 NULL A 15645.880 388.986 17.014 0.027 
OBS: 53009.7 NULL A 14295.521 645.010 17.112 0.049 
