SURVEY: KAIT
PHOTOMETRY_VERSION: LOSS
SNID: 2002cs 
IAUC: 2002cs
RA:   281.749830 deg
DECL:    45.705470 deg 
RA_HOST:   281.739920
DEC_HOST:    45.705670
MWEBV:  0.092 MW E(B-V) 
REDSHIFT_HELIO: 0.015838 +- 3e-05 
REDSHIFT_CMB: 0.0153767 +- 3e-05 
VPEC: -154.7994 +- 250.0
SEARCH_PEAKMJD: 52409.0
FILTERS: ABCDEFGHIJKLMNOP
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:   136
NVAR:   7
VARLIST: MJD FIELD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 52447.9 NULL C 24501.913 406.109 16.527 0.018 
OBS: 52451.9 NULL C 21399.321 334.980 16.674 0.017 
OBS: 52456.9 NULL C 18862.532 225.795 16.811 0.013 
OBS: 52461.8 NULL C 15761.589 232.215 17.006 0.016 
OBS: 52466.9 NULL C 15135.612 404.174 17.050 0.029 
OBS: 52471.8 NULL C 13061.709 264.602 17.210 0.022 
OBS: 52476.8 NULL C 10744.841 1038.866 17.422 0.105 
OBS: 52481.8 NULL C 10337.131 295.075 17.464 0.031 
OBS: 52486.8 NULL C 9036.495 191.381 17.610 0.023 
OBS: 52491.7 NULL C 8241.381 311.139 17.710 0.041 
OBS: 52496.7 NULL C 6873.849 227.862 17.907 0.036 
OBS: 52501.7 NULL C 6570.524 169.406 17.956 0.028 
OBS: 52510.8 NULL C 5340.722 236.054 18.181 0.048 
OBS: 52519.7 NULL C 4269.726 184.786 18.424 0.047 
OBS: 52528.7 NULL C 3647.539 305.641 18.595 0.091 
OBS: 52539.6 NULL C 2782.275 269.004 18.889 0.105 
OBS: 52400.0 NULL D 42033.930 928.927 15.941 0.024 
OBS: 52401.0 NULL D 48752.849 583.598 15.780 0.013 
OBS: 52403.0 NULL D 58022.976 587.710 15.591 0.011 
OBS: 52405.0 NULL D 64565.423 594.525 15.475 0.010 
OBS: 52407.0 NULL D 69566.475 640.575 15.394 0.010 
OBS: 52409.0 NULL D 70469.307 713.778 15.380 0.011 
OBS: 52410.9 NULL D 70990.462 653.687 15.372 0.010 
OBS: 52416.0 NULL D 67982.949 625.994 15.419 0.010 
OBS: 52418.0 NULL D 66435.468 856.442 15.444 0.014 
OBS: 52419.9 NULL D 61716.317 852.435 15.524 0.015 
OBS: 52421.9 NULL D 57969.559 1227.716 15.592 0.023 
OBS: 52424.9 NULL D 55360.500 560.742 15.642 0.011 
OBS: 52427.9 NULL D 53901.394 496.330 15.671 0.010 
OBS: 52430.9 NULL D 53358.056 835.255 15.682 0.017 
OBS: 52435.0 NULL D 51522.864 616.756 15.720 0.013 
OBS: 52435.8 NULL D 51097.541 470.511 15.729 0.010 
OBS: 52439.9 NULL D 48172.590 443.578 15.793 0.010 
OBS: 52443.9 NULL D 43611.397 722.841 15.901 0.018 
OBS: 52447.9 NULL D 37256.324 686.120 16.072 0.020 
OBS: 52451.9 NULL D 31974.223 588.844 16.238 0.020 
OBS: 52456.9 NULL D 27643.944 458.187 16.396 0.018 
OBS: 52461.8 NULL D 23659.197 413.927 16.565 0.019 
OBS: 52466.9 NULL D 22636.016 1875.913 16.613 0.090 
OBS: 52471.8 NULL D 18247.358 554.478 16.847 0.033 
OBS: 52476.8 NULL D 15747.079 971.505 17.007 0.067 
OBS: 52481.8 NULL D 13614.447 513.989 17.165 0.041 
OBS: 52486.8 NULL D 11814.083 446.020 17.319 0.041 
OBS: 52491.7 NULL D 10577.913 292.208 17.439 0.030 
OBS: 52496.7 NULL D 9462.372 540.209 17.560 0.062 
OBS: 52501.7 NULL D 8053.784 348.552 17.735 0.047 
OBS: 52510.8 NULL D 6723.571 433.379 17.931 0.070 
OBS: 52519.7 NULL D 5415.019 339.062 18.166 0.068 
OBS: 52528.7 NULL D 4993.442 800.054 18.254 0.174 
OBS: 52539.6 NULL D 3296.097 418.841 18.705 0.138 
END:
