Host	ra	dec        ID    period V-I  sigma  I  sigma  metal-8.69  HST
------------------------------------------------------------------------------
M101 210.91148 54.357230 54672 6.853  0.91  0.11 24.77 0.28 0.05 HST
M101 210.88464 54.338980 110830 6.873  1.05  0.19 24.92 0.39 0.09 HST
M101 210.88664 54.346540 126118 6.963  0.83  0.20 24.75 0.40 0.09 HST
M101 210.88550 54.331760 84633 7.249  0.87  0.14 24.58 0.31 0.08 HST
M101 210.86452 54.358720 252496 7.271  1.10  0.37 24.61 0.68 0.11 HST
M101 210.88798 54.334470 82579 7.546  0.89  0.17 24.52 0.35 0.08 HST
M101 210.88414 54.367500 202156 7.565  0.86  0.27 24.67 0.53 0.08 HST
M101 210.88854 54.344930 112715 8.166  0.97  0.17 24.84 0.36 0.09 HST
M101 210.89149 54.343530 95661 8.263  0.92  0.13 24.72 0.30 0.08 HST
M101 210.87079 54.370200 261233 8.761  0.83  0.14 24.48 0.32 0.10 HST
M101 210.88354 54.376550 227346 9.159  1.03  0.23 24.58 0.48 0.08 HST
M101 210.87822 54.344810 157343 9.261  0.90  0.20 24.47 0.40 0.10 HST
M101 210.88808 54.332170 75429 9.267  0.99  0.10 24.45 0.25 0.08 HST
M101 210.88390 54.370780 210841 9.644  0.92  0.24 24.21 0.43 0.08 HST
M101 210.86188 54.375820 316077 9.675  1.09  0.15 24.50 0.32 0.10 HST
M101 210.88996 54.336330 79991 9.683  1.06  0.23 24.67 0.43 0.08 HST
M101 210.87715 54.365830 221442 9.965  0.94  0.24 24.62 0.46 0.09 HST
M101 210.87605 54.351190 186264 10.01  1.04  0.22 24.55 0.45 0.10 HST
M101 210.88069 54.371500 223903 10.16  1.01  0.20 24.19 0.41 0.09 HST
M101 210.92010 54.368520 53242 10.25  1.10  0.07 24.45 0.21 0.03 HST
M101 210.87565 54.373640 251511 10.25  0.98  0.15 24.93 0.35 0.09 HST
M101 210.89191 54.338450 78285 10.38  0.90  0.13 24.32 0.30 0.08 HST
M101 210.87104 54.345650 190226 10.47  1.04  0.24 24.26 0.48 0.11 HST
M101 210.86397 54.360480 716117 10.68  0.92  0.19 24.22 0.40 0.11 HST
M101 210.87824 54.332140 606682 10.78  1.21  0.13 24.52 0.30 0.09 HST
M101 210.88794 54.339720 98953 10.86  1.13  0.11 24.39 0.26 0.09 HST
M101 210.86082 54.372610 310588 10.95  0.82  0.16 24.35 0.37 0.11 HST
M101 210.84499 54.344810 291859 11.27  1.22  0.26 25.00 0.51 0.14 HST
M101 210.87115 54.346660 192848 11.35  0.94  0.26 24.15 0.49 0.11 HST
M101 210.85459 54.340820 239488 11.46  1.04  0.18 24.17 0.40 0.13 HST
M101 210.87013 54.356200 221570 11.47  1.21  0.22 24.45 0.44 0.11 HST
M101 210.87740 54.369250 230803 11.48  1.16  0.22 24.03 0.45 0.09 HST
M101 210.87573 54.365760 227165 11.49  0.88  0.19 24.14 0.39 0.10 HST
M101 210.89810 54.360300 119836 11.55  0.92  0.09 24.23 0.24 0.07 HST
M101 210.90889 54.369080 100993 11.66  0.98  0.10 24.22 0.25 0.05 HST
M101 210.91546 54.345930 12515 11.66  1.03  0.09 24.29 0.23 0.05 HST
M101 210.89654 54.361710 131189 11.68  0.89  0.13 24.28 0.29 0.07 HST
M101 210.86581 54.337990 188771 11.69  1.06  0.20 24.06 0.41 0.11 HST
M101 210.87974 54.367080 214942 11.74  1.08  0.20 24.37 0.40 0.09 HST
M101 210.86410 54.336620 191757 11.75  0.96  0.15 24.45 0.33 0.11 HST
M101 210.87983 54.335650 121146 11.85  0.97  0.13 24.62 0.30 0.09 HST
M101 210.89228 54.361240 148312 11.85  1.08  0.13 24.40 0.28 0.08 HST
M101 210.87148 54.344740 185748 11.87  1.00  0.24 24.59 0.48 0.11 HST
M101 210.87231 54.339260 165222 11.89  1.52  0.15 24.21 0.34 0.11 HST
M101 210.85973 54.352830 254566 12.06  1.06  0.23 24.33 0.47 0.12 HST
M101 210.86502 54.340240 198908 12.14  0.97  0.16 24.22 0.35 0.11 HST
M101 210.88801 54.364000 175251 12.20  1.09  0.15 24.07 0.34 0.08 HST
M101 210.85261 54.341650 250418 12.34  1.18  0.18 24.20 0.38 0.13 HST
M101 210.84495 54.347820 301266 12.47  1.50  0.21 24.64 0.40 0.14 HST
M101 210.86493 54.341590 203452 12.54  1.11  0.15 24.30 0.34 0.12 HST
M101 210.86571 54.368350 276726 12.55  1.06  0.18 23.86 0.38 0.11 HST
M101 210.86209 54.337740 203549 12.88  0.95  0.14 23.65 0.33 0.12 HST
M101 210.86357 54.360880 262967 12.90  1.27  0.18 24.19 0.38 0.11 HST
M101 210.86857 54.343150 192950 12.97  0.94  0.19 23.92 0.40 0.11 HST
M101 210.87845 54.337770 133966 12.99  1.02  0.12 24.07 0.28 0.10 HST
M101 210.88517 54.372770 211383 13.19  1.75  0.14 24.73 0.30 0.08 HST
M101 210.87557 54.341860 159452 13.20  1.19  0.14 24.43 0.32 0.10 HST
M101 210.88471 54.346660 134953 13.38  1.03  0.13 24.49 0.28 0.09 HST
M101 210.87237 54.360160 224156 13.51  0.93  0.16 24.06 0.33 0.10 HST
M101 210.84391 54.342160 288267 13.57  1.05  0.23 24.01 0.47 0.14 HST
M101 210.88081 54.337860 123858 13.99  1.05  0.10 24.09 0.25 0.09 HST
M101 210.86520 54.365630 270570 13.99  1.55  0.16 24.57 0.34 0.11 HST
M101 210.87449 54.341070 161621 14.42  1.24  0.11 24.54 0.27 0.10 HST
M101 210.88427 54.372020 212413 14.48  0.97  0.19 24.04 0.37 0.08 HST
M101 210.87265 54.371550 257602 14.65  1.58  0.11 24.41 0.27 0.10 HST
M101 210.87710 54.335240 131821 14.81  1.53  0.10 24.39 0.26 0.10 HST
M101 210.89352 54.368260 164932 14.91  1.12  0.08 24.24 0.23 0.07 HST
M101 210.86532 54.353660 233739 14.98  0.98  0.17 24.15 0.35 0.12 HST
M101 210.86589 54.334820 178794 15.08  1.25  0.13 24.21 0.29 0.11 HST
M101 210.87060 54.334950 159255 15.23  1.04  0.12 23.85 0.28 0.10 HST
M101 210.90932 54.367840 95172 15.30  0.97  0.08 23.82 0.23 0.05 HST
M101 210.86235 54.346190 223549 15.36  1.77  0.16 24.68 0.32 0.12 HST
M101 210.86921 54.363940 248832 15.47  1.03  0.12 23.77 0.28 0.11 HST
M101 210.87601 54.372850 247523 15.51  1.26  0.10 24.08 0.26 0.09 HST
M101 210.85995 54.365520 292339 15.55  1.33  0.15 24.49 0.32 0.12 HST
M101 210.87337 54.363580 230395 15.59  1.14  0.25 24.12 0.50 0.10 HST
M101 210.88320 54.350330 153182 15.84  1.21  0.11 24.08 0.27 0.09 HST
M101 210.87191 54.360460 227057 15.87  1.08  0.16 23.85 0.34 0.10 HST
M101 210.88356 54.335710 105242 16.07  1.20  0.11 24.06 0.27 0.09 HST
M101 210.88314 54.375640 226297 16.18  1.22  0.12 24.14 0.28 0.08 HST
M101 210.86583 54.362270 257841 16.59  1.31  0.19 24.62 0.36 0.11 HST
M101 210.88085 54.337150 121481 16.87  1.05  0.11 24.11 0.28 0.09 HST
M101 210.85878 54.352270 256862 16.91  0.93  0.15 23.75 0.33 0.12 HST
M101 210.88302 54.347570 145156 16.97  1.24  0.12 24.26 0.28 0.09 HST
M101 210.86175 54.339700 209367 17.05  1.43  0.12 24.28 0.27 0.12 HST
M101 210.87799 54.336890 133176 17.20  1.01  0.09 23.96 0.24 0.10 HST
M101 210.88390 54.362350 187438 17.26  1.05  0.12 24.12 0.29 0.09 HST
M101 210.88694 54.335820 91034 17.28  1.18  0.18 23.80 0.36 0.08 HST
M101 210.88587 54.365950 190080 17.29  1.15  0.13 24.12 0.29 0.08 HST
M101 210.87278 54.334540 148496 17.39  0.92  0.13 23.75 0.30 0.10 HST
M101 210.88827 54.350600 131897 17.56  1.07  0.09 24.00 0.23 0.09 HST
M101 210.86646 54.340500 193736 17.57  1.11  0.12 24.02 0.29 0.11 HST
M101 210.87267 54.342570 174075 17.69  1.14  0.12 24.14 0.28 0.11 HST
M101 210.84250 54.341300 291662 17.82  1.13  0.15 23.67 0.32 0.14 HST
M101 210.86624 54.365170 264930 17.91  0.97  0.13 23.57 0.29 0.11 HST
M101 210.87979 54.333760 115287 17.94  0.96  0.07 23.44 0.22 0.09 HST
M101 210.86325 54.368120 286474 18.06  1.07  0.13 23.77 0.30 0.11 HST
M101 210.87067 54.362900 239550 18.49  1.56  0.12 23.95 0.27 0.10 HST
M101 210.87072 54.334900 158575 18.73  1.45  0.13 24.08 0.29 0.10 HST
M101 210.88877 54.372120 196790 18.88  0.92  0.15 23.50 0.32 0.07 HST
M101 210.85455 54.336740 227320 18.88  1.08  0.12 23.76 0.28 0.12 HST
M101 210.89099 54.369870 180705 19.04  1.39  0.07 23.73 0.22 0.07 HST
M101 210.87379 54.359830 217260 19.10  1.06  0.10 23.82 0.25 0.10 HST
M101 210.86626 54.366060 267629 19.18  1.21  0.15 23.98 0.32 0.11 HST
M101 210.90011 54.350870 81735 19.24  1.76  0.07 24.37 0.21 0.07 HST
M101 210.86719 54.368800 271937 19.30  0.92  0.16 23.37 0.32 0.10 HST
M101 210.86351 54.343130 211559 19.37  0.95  0.13 23.24 0.29 0.12 HST
M101 210.85364 54.352240 278069 19.44  1.00  0.13 23.40 0.31 0.13 HST
M101 210.88334 54.370030 210917 19.57  0.96  0.22 23.22 0.42 0.08 HST
M101 210.87100 54.357440 221683 19.82  1.10  0.15 23.49 0.32 0.11 HST
M101 210.86211 54.381560 332818 19.88  1.17  0.09 23.65 0.24 0.09 HST
M101 210.86062 54.351750 247555 19.89  0.97  0.13 23.23 0.31 0.12 HST
M101 210.85588 54.351480 266580 19.89  0.96  0.17 23.44 0.36 0.13 HST
M101 210.86540 54.369470 281523 20.16  0.94  0.10 23.54 0.24 0.11 HST
M101 210.86427 54.342590 677641 20.46  0.88  0.11 23.08 0.25 0.12 HST
M101 210.87437 54.359770 215047 20.62  0.98  0.11 23.33 0.26 0.10 HST
M101 210.87341 54.354330 206223 20.72  1.53  0.11 24.31 0.26 0.11 HST
M101 210.86290 54.366720 283512 20.86  1.14  0.12 23.92 0.28 0.11 HST
M101 210.91503 54.351080 25852 21.17  1.01  0.06 23.36 0.20 0.05 HST
M101 210.88446 54.355750 164618 21.49  0.85  0.08 23.23 0.22 0.09 HST
M101 210.87048 54.367010 252819 21.59  1.69  0.18 24.06 0.36 0.10 HST
M101 210.89573 54.352630 105877 22.29  1.05  0.06 23.22 0.20 0.08 HST
M101 210.85579 54.355060 277736 22.74  1.02  0.15 23.60 0.33 0.13 HST
M101 210.86195 54.377710 321646 22.94  1.21  0.11 23.72 0.27 0.10 HST
M101 210.86668 54.341010 194374 23.36  1.13  0.12 23.66 0.28 0.11 HST
M101 210.86039 54.345170 228604 23.59  1.39  0.09 23.59 0.24 0.12 HST
M101 210.84484 54.341290 281695 23.87  1.04  0.10 23.25 0.25 0.14 HST
M101 210.85806 54.344320 235682 23.87  1.11  0.12 23.47 0.29 0.12 HST
M101 210.84671 54.356230 319860 24.02  1.24  0.12 23.49 0.28 0.14 HST
M101 210.86153 54.344480 221821 24.09  1.21  0.09 23.71 0.24 0.12 HST
M101 210.87306 54.354680 208093 24.43  1.39  0.08 23.75 0.23 0.11 HST
M101 210.88250 54.359320 184108 24.86  1.11  0.10 23.42 0.25 0.09 HST
M101 210.84579 54.346740 294352 24.97  0.95  0.16 23.31 0.33 0.14 HST
M101 210.87549 54.341140 157556 25.55  1.12  0.09 23.53 0.24 0.10 HST
M101 210.90500 54.356020 77186 25.58  1.07  0.11 23.69 0.25 0.06 HST
M101 210.87347 54.379060 276932 25.64  1.08  0.07 23.32 0.21 0.09 HST
M101 210.88325 54.376200 227583 25.77  1.16  0.08 23.30 0.22 0.08 HST
M101 210.86456 54.355150 241530 25.95  0.88  0.13 22.90 0.29 0.12 HST
M101 210.88425 54.334400 98167 25.98  1.02  0.07 23.07 0.22 0.09 HST
M101 210.84575 54.346840 294887 26.15  1.21  0.17 23.63 0.36 0.14 HST
M101 210.85567 54.341550 237220 26.58  1.18  0.10 23.10 0.25 0.13 HST
M101 210.87137 54.342520 179331 26.73  1.16  0.11 23.51 0.26 0.11 HST
M101 210.86578 54.354600 234711 27.28  1.10  0.13 23.00 0.29 0.11 HST
M101 210.89111 54.333550 66960 27.57  0.93  0.05 22.86 0.20 0.08 HST
M101 210.86661 54.344640 205415 28.27  1.14  0.11 23.26 0.26 0.11 HST
M101 210.86096 54.351670 245913 28.48  1.24  0.11 23.70 0.26 0.12 HST
M101 210.84347 54.342670 291657 28.65  1.48  0.10 23.40 0.26 0.14 HST
M101 210.87197 54.378230 280724 28.68  1.17  0.07 23.53 0.21 0.09 HST
M101 210.84450 54.341430 283560 28.91  1.24  0.11 23.44 0.27 0.14 HST
M101 210.69016 54.345070 363373 6.054  0.99  0.19 25.21 0.38 0.06 HST
M101 210.70808 54.318460 218108 6.075  0.83  0.19 25.19 0.39 0.06 HST
M101 210.72068 54.341360 230998 6.158  0.94  0.28 25.11 0.58 0.10 HST
M101 210.69144 54.326770 309447 6.373  0.84  0.15 24.83 0.34 0.05 HST
M101 210.69653 54.317550 260598 6.603  0.87  0.18 25.04 0.39 0.05 HST
M101 210.71092 54.351510 299699 6.854  0.81  0.18 24.82 0.39 0.09 HST
M101 210.72378 54.350830 242444 7.145  1.07  0.16 24.72 0.38 0.10 HST
M101 210.71398 54.319710 195818 7.358  0.95  0.21 24.80 0.41 0.07 HST
M101 210.70591 54.336740 277390 7.453  0.92  0.21 25.00 0.43 0.08 HST
M101 210.69791 54.332250 298224 7.862  0.83  0.16 24.60 0.36 0.06 HST
M101 210.74214 54.351920 170133 8.354  0.90  0.29 24.67 0.59 0.12 HST
M101 210.73414 54.317740 100066 8.368  1.03  0.16 24.93 0.34 0.09 HST
M101 210.71393 54.337260 244364 8.440  1.15  0.23 24.99 0.44 0.09 HST
M101 210.68753 54.341900 364866 8.772  1.00  0.11 24.59 0.28 0.05 HST
M101 210.73611 54.354650 205210 9.057  0.96  0.16 24.26 0.36 0.12 HST
M101 210.72792 54.345320 212709 9.271  0.81  0.16 24.59 0.37 0.11 HST
M101 210.72128 54.324660 178616 9.642  1.08  0.15 24.73 0.34 0.09 HST
M101 210.75042 54.321510 40060 9.874  1.05  0.15 24.55 0.34 0.11 HST
M101 210.71236 54.322680 212178 9.942  0.88  0.16 24.30 0.35 0.07 HST
M101 210.72646 54.337640 195561 10.26  0.92  0.14 24.46 0.32 0.10 HST
M101 210.74698 54.329560 79671 10.37  1.07  0.18 24.02 0.39 0.12 HST
M101 210.74432 54.330440 94097 10.45  1.29  0.15 24.22 0.34 0.12 HST
M101 210.71715 54.351170 272115 10.49  1.16  0.15 24.48 0.33 0.09 HST
M101 210.72893 54.323750 141870 10.58  0.94  0.12 24.25 0.29 0.09 HST
M101 210.71325 54.339170 253052 10.67  0.85  0.19 24.20 0.39 0.09 HST
M101 210.73752 54.352120 190990 10.68  0.92  0.14 24.33 0.32 0.12 HST
M101 210.73913 54.333430 126265 10.75  1.08  0.12 24.36 0.30 0.12 HST
M101 210.72088 54.341270 230116 10.85  1.04  0.15 24.16 0.34 0.10 HST
M101 210.75772 54.326850 24350 10.86  1.16  0.30 24.13 0.57 0.13 HST
M101 210.74684 54.331960 87556 10.95  0.92  0.26 24.34 0.50 0.12 HST
M101 210.73022 54.332460 162947 10.97  1.28  0.14 24.21 0.32 0.10 HST
M101 210.73528 54.343900 175703 11.07  0.88  0.15 24.26 0.34 0.12 HST
M101 210.75173 54.333690 71362 11.08  1.01  0.17 24.31 0.36 0.13 HST
M101 210.73805 54.345600 168798 11.15  1.37  0.16 24.46 0.35 0.12 HST
M101 210.74768 54.329260 75602 11.26  0.99  0.18 24.04 0.40 0.12 HST
M101 210.70461 54.347080 313164 11.26  0.97  0.14 24.29 0.31 0.08 HST
M101 210.69066 54.338740 345893 11.29  0.95  0.12 24.44 0.28 0.05 HST
M101 210.71931 54.353330 269346 11.37  0.97  0.14 24.34 0.31 0.10 HST
M101 210.72056 54.331690 203569 11.38  0.97  0.14 24.46 0.32 0.09 HST
M101 210.74155 54.331040 108111 12.14  1.22  0.13 24.60 0.31 0.12 HST
M101 210.72435 54.333880 193338 12.17  0.92  0.14 24.05 0.31 0.10 HST
M101 210.71306 54.337380 248530 12.28  1.24  0.14 24.56 0.31 0.09 HST
M101 210.72876 54.340010 192614 12.29  0.96  0.14 24.19 0.31 0.11 HST
M101 210.74901 54.320890 44333 12.48  1.30  0.13 24.42 0.30 0.11 HST
M101 210.73399 54.356320 219452 12.77  0.99  0.09 24.18 0.25 0.11 HST
M101 210.75122 54.324180 44666 12.79  1.08  0.16 24.24 0.36 0.12 HST
M101 210.74241 54.336380 120706 12.85  1.15  0.14 24.28 0.32 0.12 HST
M101 210.70989 54.324860 228878 12.89  0.91  0.14 24.01 0.31 0.07 HST
M101 210.72543 54.331570 181580 12.90  1.08  0.12 24.46 0.29 0.10 HST
M101 210.75099 54.320480 34514 13.01  1.08  0.13 24.20 0.30 0.11 HST
M101 210.69448 54.321360 280742 13.66  0.91  0.14 23.97 0.34 0.05 HST
M101 210.73095 54.315470 107213 13.77  1.23  0.12 24.45 0.29 0.09 HST
M101 210.74302 54.331500 103016 13.92  1.07  0.17 23.86 0.34 0.12 HST
M101 210.72774 54.337330 188874 13.92  1.02  0.14 24.50 0.31 0.10 HST
M101 210.70097 54.331880 721202 14.02  0.95  0.12 24.04 0.27 0.07 HST
M101 210.74579 54.319990 55763 14.09  1.23  0.13 24.17 0.29 0.11 HST
M101 210.70823 54.345700 294062 14.11  1.12  0.14 24.43 0.31 0.08 HST
M101 210.74769 54.326700 67770 14.15  1.57  0.21 24.26 0.43 0.12 HST
M101 210.69956 54.322560 262610 14.16  1.35  0.09 24.02 0.24 0.06 HST
M101 210.71350 54.325980 217106 14.31  1.07  0.12 23.83 0.28 0.08 HST
M101 210.69156 54.342170 351392 14.42  0.86  0.10 24.21 0.25 0.06 HST
M101 210.74772 54.326280 66284 14.46  1.37  0.14 24.11 0.30 0.12 HST
M101 210.72512 54.315750 134136 15.02  1.00  0.12 24.41 0.28 0.08 HST
M101 210.74848 54.345280 121167 15.05  1.36  0.11 24.07 0.27 0.13 HST
M101 210.69435 54.315300 263257 15.19  1.02  0.11 23.73 0.26 0.04 HST
M101 210.73881 54.342580 156149 15.27  1.59  0.11 24.40 0.26 0.12 HST
M101 210.74054 54.318100 73007 15.36  1.01  0.15 23.97 0.33 0.10 HST
M101 210.69659 54.326440 286623 15.50  1.23  0.10 24.08 0.24 0.06 HST
M101 210.75193 54.322550 36737 15.69  1.13  0.12 24.08 0.28 0.12 HST
M101 210.71041 54.348710 293622 16.42  1.29  0.10 24.07 0.25 0.08 HST
M101 210.75258 54.325730 43437 16.76  1.13  0.12 24.12 0.27 0.12 HST
M101 210.73604 54.317560 91136 16.77  0.93  0.09 23.78 0.24 0.09 HST
M101 210.75144 54.332240 68198 16.79  1.56  0.19 24.23 0.38 0.13 HST
M101 210.72385 54.329780 183024 16.89  0.90  0.09 23.75 0.24 0.09 HST
M101 210.72343 54.332940 194602 17.04  1.01  0.09 23.93 0.23 0.10 HST
M101 210.75111 54.322100 38839 17.06  0.98  0.13 23.92 0.30 0.11 HST
M101 210.69612 54.324330 282450 17.17  1.36  0.09 24.46 0.24 0.05 HST
M101 210.70715 54.332910 260680 17.18  1.36  0.07 24.06 0.22 0.08 HST
M101 210.75167 54.322710 38279 17.24  1.01  0.11 23.60 0.26 0.12 HST
M101 210.73821 54.319040 86123 17.76  1.10  0.10 24.06 0.25 0.10 HST
M101 210.68517 54.334880 356191 17.95  0.93  0.10 24.28 0.25 0.05 HST
M101 210.74653 54.324700 66773 18.08  0.90  0.12 24.19 0.30 0.11 HST
M101 210.70148 54.338040 300056 18.23  0.99  0.09 23.73 0.23 0.07 HST
M101 210.75056 54.324610 48875 18.26  1.05  0.12 23.52 0.28 0.12 HST
M101 210.75036 54.341090 100017 18.35  0.87  0.09 23.58 0.24 0.13 HST
M101 210.74476 54.351190 156248 18.80  1.06  0.11 23.70 0.26 0.13 HST
M101 210.75916 54.323210 6705 19.15  1.04  0.15 23.10 0.33 0.12 HST
M101 210.71694 54.350390 270678 19.20  1.05  0.10 24.29 0.25 0.09 HST
M101 210.74569 54.332070 93020 19.29  1.56  0.10 23.88 0.24 0.12 HST
M101 210.70662 54.316810 219429 19.45  1.21  0.11 23.74 0.28 0.06 HST
M101 210.72000 54.347510 248945 19.53  0.99  0.09 23.58 0.24 0.10 HST
M101 210.71164 54.329600 678246 19.54  1.07  0.07 24.23 0.21 0.08 HST
M101 210.75208 54.324820 42877 19.61  1.07  0.10 23.58 0.25 0.12 HST
M101 210.69202 54.322050 293249 20.47  0.89  0.09 23.61 0.23 0.05 HST
M101 210.75071 54.330120 64911 20.59  1.16  0.10 23.80 0.26 0.12 HST
M101 210.71703 54.338680 236615 23.03  1.18  0.12 23.88 0.27 0.09 HST
M101 210.74633 54.332750 92329 23.06  1.08  0.08 23.49 0.22 0.12 HST
M101 210.72089 54.340960 229426 24.03  1.43  0.08 23.79 0.22 0.10 HST
M101 210.74648 54.334800 97872 24.58  1.12  0.08 23.55 0.22 0.12 HST
M101 210.72851 54.335920 181233 24.63  1.23  0.09 23.69 0.25 0.10 HST
